policy,scope,period_offset,physical_paths,learning_seed_aggregation,mean__queue_loss,q25__queue_loss,q75__queue_loss,mean__waiting_loss,q25__waiting_loss,q75__waiting_loss,mean__direct_sue_exit_mass,q25__direct_sue_exit_mass,q75__direct_sue_exit_mass,mean__duration_attrition_mass,q25__duration_attrition_mass,q75__duration_attrition_mass,mean__overload_loss,q25__overload_loss,q75__overload_loss,mean__route_resource_loss,q25__route_resource_loss,q75__route_resource_loss,mean__action_loss,q25__action_loss,q75__action_loss,mean__delivered_landbridge,q25__delivered_landbridge,q75__delivered_landbridge,mean__waiting_before,q25__waiting_before,q75__waiting_before,mean__outstanding_after,q25__outstanding_after,q75__outstanding_after,mean__queue_berth,q25__queue_berth,q75__queue_berth,mean__queue_yard,q25__queue_yard,q75__queue_yard,mean__queue_gate,q25__queue_gate,q75__queue_gate,mean__queue_landbridge,q25__queue_landbridge,q75__queue_landbridge,mean__action_readiness_order_model_units,q25__action_readiness_order_model_units,q75__action_readiness_order_model_units,mean__action_readiness_order_reference_ratio,q25__action_readiness_order_reference_ratio,q75__action_readiness_order_reference_ratio,mean__action_direct_order_model_units,q25__action_direct_order_model_units,q75__action_direct_order_model_units,mean__action_direct_order_reference_ratio,q25__action_direct_order_reference_ratio,q75__action_direct_order_reference_ratio,mean__action_readiness_exercise_model_units,q25__action_readiness_exercise_model_units,q75__action_readiness_exercise_model_units,mean__action_readiness_exercise_reference_ratio,q25__action_readiness_exercise_reference_ratio,q75__action_readiness_exercise_reference_ratio,mean__action_release_model_units,q25__action_release_model_units,q75__action_release_model_units,mean__action_release_reference_ratio,q25__action_release_reference_ratio,q75__action_release_reference_ratio,mean__action_disclosure_model_units,q25__action_disclosure_model_units,q75__action_disclosure_model_units,mean__action_disclosure_reference_ratio,q25__action_disclosure_reference_ratio,q75__action_disclosure_reference_ratio
Model-guided constrained SAC,clearance,10,88,within_path_first,59.25267129422741,56.360480695540566,61.118220688190625,2290.7133977765884,2197.2660136553527,2378.6560289989657,0.0,0.0,0.0,2.380523748416493,2.2711883080559647,2.4738651435933257,52.785519553938066,50.36168069554057,54.857658167184404,0.0,0.0,0.0,0.0,0.0,0.0,1.9680517402893491,1.4997000000000007,1.4997000000000007,176.3949155795299,168.3031327538448,183.5576019502504,231.2990113850515,223.24573799491412,238.9922043152341,54.213188859417556,51.71334520681232,56.243717421957754,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.9680517402893494,1.4997000000000007,1.4997000000000007,43.78302407132789,43.58536814604809,44.003172232916555,0.10700029832723476,0.10651725168028253,0.10753831321921217,46.73217523679341,46.67609968313497,46.79885874656661,0.11420765919849017,0.11407061747746738,0.11437062545289088,0.3471536437044258,0.3417415655248603,0.3542054187255903,0.0008484005897181863,0.0008351741396940761,0.0008656342561221309,0.28707552597974895,0.2763269250536471,0.2954859762972112,0.28707552597974895,0.2763269250536471,0.2954859762972112,0.3339266571721732,0.3331973360026731,0.33495267907892445,0.11130888572405771,0.11106577866755771,0.11165089302630815
Model-guided constrained SAC,clearance,11,88,within_path_first,57.284619553938064,54.86078069554057,59.35675816718441,2432.894651458941,2333.6387332276395,2527.1183910199,0.0,0.0,0.0,2.7479067889656,2.6182741463602266,2.854238306715571,51.28581955393806,48.86198069554056,53.3579581671844,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,174.01439183111344,165.99410828131633,181.0072602938679,227.05140459608592,219.13952511824868,234.68069474961337,52.713488859417545,50.21364520681232,54.74401742195775,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,43.352206817591764,43.15320732664852,43.57200738332356,0.10594743421718182,0.1054611040618411,0.1064845996278552,46.547345689374566,46.47240362622803,46.62794794352834,0.11375595863341993,0.11357280949550579,0.11395294057843701,6.456761788555582,0.4312626441140552,0.45922679197467847,0.01577952761960473,0.001053952589076985,0.00112229350949123,0.2973691555644638,0.2854644382002029,0.3074896578677182,0.2973691555644638,0.2854644382002029,0.3074896578677182,0.3316930675926834,0.33056519086104064,0.33300569997673,0.1105643558642278,0.11018839695368023,0.11100189999224334
Model-guided constrained SAC,clearance,12,88,within_path_first,55.78491955393807,53.36108069554056,57.8570581671844,2564.763971649481,2459.3428792867894,2664.9019294361674,0.0,0.0,0.0,3.128853643027509,2.984215690513671,3.2486235179760716,49.78611955393806,47.362280695540555,51.858258167184395,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,171.26648504214785,163.3418004499004,178.07062425997682,222.4228509530584,214.66690430915085,229.9745672536183,51.213788859417555,48.71394520681231,53.24431742195775,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,42.78410251089434,42.587714518069916,43.048703343840884,0.1045590575212601,0.10407910954448568,0.10520570924675057,46.33498696131812,46.273623023946854,46.421096470446116,0.11323698015405737,0.11308701427699591,0.11344742114941889,40.86261659624331,42.37005597810413,42.781136928407264,0.09986318348194541,0.10354717897998497,0.10455181000427011,0.31509770805622606,0.3024723410082794,0.32426571586257835,0.31509770805622606,0.3024723410082794,0.32426571586257835,0.33054149072278255,0.32970900684815024,0.33170110033766587,0.11018049690759418,0.10990300228271675,0.11056703344588861
Model-guided constrained SAC,clearance,13,88,within_path_first,54.285219553938056,51.861380695540554,56.3573581671844,2685.012316292845,2573.8722315204477,2791.1761394759287,0.0,0.0,0.0,3.51881010195104,3.3552377094069934,3.650664071145077,48.286419553938046,45.86258069554055,50.35855816718439,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,168.13763139912032,160.3508752285506,174.7343515480356,217.40434085110735,209.81855820938276,224.86392061364356,49.71408885941754,47.21424520681231,51.74461742195774,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,42.474604191275404,42.29004987650025,42.71701376960649,0.10380268188861642,0.10335165395810278,0.10439510093113274,46.26118762383529,46.194694938433315,46.34179389034533,0.11305662369640036,0.11289412379317308,0.11325361544712018,41.747840873792114,41.55767921082468,41.95367737365174,0.10202656218392642,0.10156183058761709,0.10252960114386059,0.33747525223116126,0.3267943362411512,0.3465891374879708,0.33747525223116126,0.3267943362411512,0.3465891374879708,0.3284602406328739,0.32746446160670667,0.32945976321961135,0.10948674687762461,0.1091548205355689,0.10981992107320379
Model-guided constrained SAC,clearance,14,88,within_path_first,52.78551955393805,50.36168069554055,54.8576581671844,2792.3549530984383,2678.0557102387834,2903.717235379724,0.0,0.0,0.0,3.912778542524674,3.7309435298425537,4.056429990924368,46.78671955393805,44.362880695540554,48.85885816718439,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,164.6188212971693,157.02321489380785,170.98994072416073,211.99186230858268,204.5899403269329,219.34400127946572,48.214388859417525,45.7145452068123,50.244917421957744,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,41.985035815298986,41.78851759737364,42.247038899075804,0.1026062372986832,0.10212597106786066,0.10324654044633932,46.00507264220537,45.888245359163676,46.109961318607816,0.11243071034249795,0.11214519890505459,0.11268704530117798,41.656581020105605,41.491175819915014,41.907033082287015,0.10180353438315487,0.10139930452145238,0.10241560826198112,0.35950879150084325,0.3466901849309575,0.36924573212840034,0.35950879150084325,0.3466901849309575,0.36924573212840034,0.3270603314557779,0.32615767435917814,0.3280486149848506,0.10902011048525932,0.10871922478639272,0.10934953832828354
Model-guided constrained SAC,clearance,15,88,within_path_first,51.28581955393805,48.86198069554055,53.35795816718439,2885.5620973987666,2768.6472614711224,3001.59516741689,0.0,0.0,0.0,4.305374949015357,4.110861461441112,4.463229940878581,45.28701955393804,42.86318069554054,47.35915816718438,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,160.7060427546446,153.36843162447983,166.83865911233516,206.1867873595673,198.99699809144101,213.41561305514745,46.714688859417535,44.2148452068123,48.74521742195773,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,41.54576590371692,41.34719156082872,41.76517545689373,0.10153271593778115,0.1010474247917297,0.1020689257621075,45.65594959509429,45.550960483831716,45.75542717350589,0.1115774967743136,0.11132091636525127,0.11182060767842958,41.2789611588349,41.08238483914596,41.51325349389232,0.10088067812397027,0.10040026989962011,0.10145325962738783,0.3801458045176098,0.3670401857428916,0.388710206942652,0.3801458045176098,0.3670401857428916,0.388710206942652,0.3238372649181596,0.32303110389230083,0.3247520299124788,0.10794575497271985,0.10767703463076694,0.10825067663749294
Model-guided constrained SAC,clearance,16,88,within_path_first,49.786119553938036,47.36228069554054,51.85825816718438,2963.491080942775,2841.3488468313158,3083.6136551169607,0.0,0.0,0.0,4.690905172701455,4.484705408349513,4.868762124613976,43.78731955393803,41.36348069554054,45.85945816718438,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,156.40066780562927,149.3014640377257,162.40285390779377,199.9961821868659,193.06400402889867,207.08544966452493,45.21498885941753,42.715145206812295,47.24551742195773,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,41.03563405594719,40.83186026866847,41.30663429199444,0.10028601676486289,0.09978801881948177,0.10094830784043062,45.46416985151157,45.33689738135219,45.590538206431845,0.11110881078900933,0.11079777260549525,0.11141763942664666,40.68602828318408,40.485817031190095,40.93056870631341,0.09943162347486002,0.09894233192531046,0.10002925003864599,0.4019186928626434,0.3869126515327379,0.4128275791994126,0.4019186928626434,0.3869126515327379,0.4128275791994126,0.32408033480226534,0.32336707324046354,0.32507253779544326,0.10802677826742176,0.10778902441348784,0.10835751259848109
Model-guided constrained SAC,clearance,17,88,within_path_first,48.286419553938046,45.86258069554054,50.358558167184384,3025.1192677170834,2897.983369019877,3147.2714952328834,0.0,0.0,0.0,5.063460079596922,4.849066035245839,5.25763174247253,42.287619553938036,39.863780695540534,44.35975816718438,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,151.7097626329278,144.74844121250493,157.5665430890027,193.43302210726895,186.70801898211386,200.3663304429177,43.71528885941753,41.21544520681229,45.745817421957724,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,40.54904752475034,40.332132088437795,40.79983365271998,0.09909685943495217,0.09856674492391673,0.09970974972926733,45.56839916372589,45.4757902535778,45.682985826255745,0.11136353434312486,0.11113720961513297,0.11164356998102512,40.23006921457959,39.985215702397,40.52390121788214,0.0983173158773262,0.0977189241625984,0.09903540496957897,0.42452749548693575,0.40624111582574274,0.4356379554020479,0.42452749548693575,0.40624111582574274,0.4356379554020479,0.3214080190866408,0.32055450551963655,0.32245327466903745,0.10713600636221358,0.10685150183987886,0.10748442488967916
Model-guided constrained SAC,clearance,18,88,within_path_first,46.786719553938035,44.36288069554053,48.85885816718438,3069.576788228721,2938.0987189939924,3191.714628113404,0.0,0.0,0.0,5.417028407068405,5.196968104506835,5.625422427556816,40.78791955393803,38.36408069554053,42.86005816718437,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,146.64630255333088,139.89818360752753,152.34276435415,186.51629370020055,179.9827436683309,193.27732053100843,42.21558885941752,39.71574520681229,44.24611742195773,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,40.05729763179501,39.871715821051076,40.3158667502518,0.09789508348720388,0.09744154448356267,0.09852699444812824,45.64402693405419,45.53627541720435,45.755333433203916,0.1115483592646234,0.11128502787779725,0.11182037858871982,39.84724736733899,39.566412674927406,40.16043579975046,0.09738174660750606,0.0966954213363297,0.09814714041963912,0.4450077868612014,0.4291389263358838,0.4586321515302877,0.4450077868612014,0.4291389263358838,0.4586321515302877,0.32259311086406034,0.3219432420325346,0.3237419359320486,0.10753103695468677,0.10731441401084488,0.10791397864401621
Model-guided constrained SAC,clearance,19,88,within_path_first,45.28701955393803,42.86318069554053,47.359158167184376,3096.1780406487455,2961.0658648154094,3223.374953331311,0.0,0.0,0.0,5.74562524195998,5.511225032608442,5.968887111624866,39.28821955393802,36.864380695540525,41.360358167184366,0.0,0.0,0.0,0.0,0.0,0.0,1.4997000000000007,1.4997000000000007,1.4997000000000007,141.22927414626247,134.71151314216834,146.75078870360917,179.27096845824053,172.96507118138874,185.77219806408527,40.71588885941752,38.21604520681228,42.746417421957716,1.4997000000000007,1.4997000000000007,1.4997000000000007,1.5717306945205116,1.5358722979479844,1.5396838973655005,1.4997000000000007,1.4997000000000007,1.4997000000000007,39.863350356929345,39.65460183785437,40.10451029443939,0.09742110032339656,0.09691094474848692,0.09801046539822816,45.507647961222794,45.39795308791391,45.62550533764153,0.11121506591433429,0.110946985204562,0.11150309477264991,39.3281059062364,39.087240811233315,39.67007323269371,0.09611302905338014,0.09552438453718677,0.09694875492488432,0.46957983866439296,0.45032927593559274,0.48156016863982337,0.46957983866439296,0.45032927593559274,0.48156016863982337,0.3189009833360354,0.3179733717385292,0.31994738390768285,0.10630032777867848,0.10599112391284304,0.10664912796922763
