base_policy,restriction,path_id,path_content_sha256,training_seed,scope,period_offset,queue_loss_berth,queue_loss_yard,queue_loss_gate,queue_loss_landbridge,queue_loss,waiting_loss,sue_exit_loss,attrition_exit_loss,exit_loss,overload_loss,route_resource_loss,action_loss,terminal_loss,period_operational_loss,period_loss_identity_residual,waiting_mass_before,waiting_mass_after,sue_exit_mass,attrition_exit_mass,delivered_landbridge,outstanding_mass_after
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,67,0.0,0.0,0.0,0.0,0.0,0.16241131648341844,0.0,0.021060177482610194,0.021060177482610187,0.0,0.0,0.0,0.0,0.18347149396602863,0.0,0.002362122183570868,0.0013592565891608589,0.0,0.0010028655944100092,0.0,0.0013592565891608589
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,68,0.0,0.0,0.0,0.0,0.0,0.09478386427438887,0.0,0.012470161329023264,0.012470161329023259,0.0,0.0,0.0,0.0,0.10725402560341213,0.0,0.0013592565891608589,0.0007654393830168939,0.0,0.0005938172061439649,0.0,0.0007654393830168939
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,69,0.0,0.0,0.0,0.0,0.0,0.05412247469871357,0.0,0.007222996005618657,0.007222996005618657,0.0,0.0,0.0,0.0,0.06134547070433223,0.0,0.0007654393830168939,0.00042148719227314837,0.0,0.0003439521907437456,0.0,0.00042148719227314837
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,70,0.0,0.0,0.0,0.0,0.0,0.03021359655717217,0.0,0.004089376000504942,0.004089376000504941,0.0,0.0,0.0,0.0,0.03430297255767711,6.938893903907228e-18,0.00042148719227314837,0.00022675500177291307,0.0,0.00019473219050023533,0.0,0.00022675500177291307
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,71,0.0,0.0,0.0,0.0,0.0,0.016475773795139113,0.0,0.002261156992819401,0.0022611569928194016,0.0,0.0,0.0,0.0,0.018736930787958517,-3.469446951953614e-18,0.00022675500177291307,0.00011908085925770349,0.0,0.00010767414251520958,0.0,0.00011908085925770349
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,72,0.0,0.0,0.0,0.0,0.0,0.008768469396368928,0.0,0.0012199915242428467,0.0012199915242428465,0.0,0.0,0.0,0.0,0.009988460920611775,0.0,0.00011908085925770349,6.0986024769948884e-05,0.0,5.80948344877546e-05,0.0,6.0986024769948884e-05
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,73,0.0,0.0,0.0,0.0,0.0,0.004550186726597283,0.0,0.000641697842892326,0.000641697842892326,0.0,0.0,0.0,0.0,0.005191884569489609,0.0,6.0986024769948884e-05,3.0428984632219075e-05,0.0,3.055704013772981e-05,0.0,3.0428984632219075e-05
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,74,0.0,0.0,0.0,0.0,0.0,0.002300009873543816,0.0,0.00032871677992996957,0.00032871677992996957,0.0,0.0,0.0,0.0,0.0026287266534737856,0.0,3.0428984632219075e-05,1.4775804635553855e-05,0.0,1.5653179996665218e-05,0.0,1.4775804635553855e-05
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,75,0.0,0.0,0.0,0.0,0.0,0.001131266778376448,0.0,0.00016382216912796274,0.00016382216912796274,0.0,0.0,0.0,0.0,0.0012950889475044109,0.0,1.4775804635553855e-05,6.974748962793726e-06,0.0,7.80105567276013e-06,0.0,6.974748962793726e-06
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,76,0.0,0.0,0.0,0.0,0.0,0.0005408095858319917,0.0,7.934037054394901e-05,7.934037054394901e-05,0.0,0.0,0.0,0.0,0.0006201499563759408,0.0,6.974748962793726e-06,3.1966360797485346e-06,0.0,3.778112883045191e-06,0.0,3.1966360797485346e-06
