policy,reference_policy,outcome,physical_paths,mean_paired_difference,standard_error,paired_95_lower,paired_95_upper,inference_unit,learning_seeds_averaged_within_path_first
Projected stochastic MPC,Passive,restricted_clearance_time_contribution,88,1.0,0.0,1.0,1.0,physical_path,True
Projected stochastic MPC,Passive,seed_clearance_probability,88,0.0,0.0,0.0,0.0,physical_path,True
Reactive,Passive,total_operational_objective,88,-186460.52009310204,1125.746168733998,-188698.0625010449,-184222.9776851592,physical_path,True
Reactive,Passive,waiting_model_unit_weeks,88,-8904.408469536029,54.58244262408833,-9012.896984525027,-8795.919954547031,physical_path,True
Reactive,Passive,direct_sue_exit,88,0.0002712517578086115,5.370015048991808e-06,0.00026057827142497746,0.00028192524419224556,physical_path,True
Reactive,Passive,duration_attrition,88,-379.23137734121724,2.2658593073764113,-383.73501806547426,-374.7277366169602,physical_path,True
Reactive,Passive,overload,88,-177.13399284640101,1.062901078838995,-179.24662383321134,-175.02136185959068,physical_path,True
Reactive,Passive,loss_route_resource,88,497.6091120451451,3.9301627069512124,489.79748810081634,505.4207359894738,physical_path,True
Reactive,Passive,loss_action,88,599.860543202984,4.578019402881132,590.761233924542,608.959852481426,physical_path,True
Reactive,Passive,ending_outstanding_mass,88,-1.6530175228232999e-07,4.017737797891372e-09,-1.7328744120267232e-07,-1.5731606336198765e-07,physical_path,True
Reactive,Passive,restricted_clearance_time_contribution,88,1.0,0.0,1.0,1.0,physical_path,True
Reactive,Passive,seed_clearance_probability,88,0.0,0.0,0.0,0.0,physical_path,True
Vanilla SAC,Passive,total_operational_objective,88,-52.41517153986404,1.4803843036606132,-55.357595641754344,-49.47274743797374,physical_path,True
Vanilla SAC,Passive,waiting_model_unit_weeks,88,-1.535233991051779,0.0704425878043384,-1.675246261948247,-1.3952217201553108,physical_path,True
Vanilla SAC,Passive,direct_sue_exit,88,-1.7679941914750897e-08,1.121827836472129e-09,-1.990969621304005e-08,-1.5450187616461744e-08,physical_path,True
Vanilla SAC,Passive,duration_attrition,88,-0.12489309340066318,0.0030098909821795012,-0.13087557764352342,-0.11891060915780294,physical_path,True
Vanilla SAC,Passive,overload,88,0.2345418713518267,0.00529249713708461,0.2240224602118709,0.2450612824917825,physical_path,True
Vanilla SAC,Passive,loss_route_resource,88,0.005434713227319063,0.002924258562642754,-0.00037756730929742587,0.01124699376393555,physical_path,True
Vanilla SAC,Passive,loss_action,88,3.492925272639418,0.028796642158600633,3.4356888282030265,3.55016171707581,physical_path,True
Vanilla SAC,Passive,ending_outstanding_mass,88,-2.447700795137109e-11,3.851696566409397e-12,-3.2132671944934594e-11,-1.6821343957807585e-11,physical_path,True
Vanilla SAC,Passive,restricted_clearance_time_contribution,88,0.0,0.0,0.0,0.0,physical_path,True
