restriction,reference,outcome,physical_paths,mean_paired_difference,paired_difference_sd,standard_error,paired_95_lower,paired_95_upper,simultaneous_95_lower,simultaneous_95_upper,unadjusted_p_value,multiplicity_family,family_size,interpretation,holm_adjusted_p_value
no_release_pacing_authority,full_action,sue_exit,88,4.251759452644644e-06,2.047280868754117e-06,2.182408738997571e-07,3.817982084300251e-06,4.685536820989038e-06,3.6950931981451155e-06,4.808425707144173e-06,1.7651704896377663e-33,four restrictions within sue_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.7651704896377663e-33
no_disclosure,full_action,sue_exit,88,8.598913252645969e-05,2.287298461410951e-05,2.438268352459502e-06,8.114281015637465e-05,9.083545489654473e-05,7.976984973596002e-05,9.220841531695935e-05,2.6093297637143154e-53,four restrictions within sue_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,7.827989291142946e-53
no_readiness,full_action,attrition_exit,88,3.12869107222036,0.42422526442728337,0.04522256513602253,3.0388063272413004,3.218575817199419,3.013342029196029,3.2440401152446907,7.63646434895481e-78,four restrictions within attrition_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,7.63646434895481e-78
no_direct_capacity,full_action,attrition_exit,88,10.872142293007748,1.157892059828433,0.12343170830894762,10.626808407362198,11.117476178653298,10.557305454595983,11.186979131419513,7.69895834024505e-87,four restrictions within attrition_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,2.3096875020735147e-86
no_release_pacing_authority,full_action,attrition_exit,88,-9.135590932459685,0.6284369382339628,0.06699160270790369,-9.26874399679884,-9.00243786812053,-9.30646618555026,-8.96471567936911,3.108274727341634e-103,four restrictions within attrition_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.2433098909366536e-102
no_disclosure,full_action,attrition_exit,88,7.464762580876785,0.9205910718182511,0.09813533799111517,7.269707970369102,7.659817191384469,7.214449108164741,7.715076053588829,2.2785607502828553e-81,four restrictions within attrition_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,4.557121500565711e-81
no_readiness,full_action,overload,88,57.01968077930933,2.745280966178299,0.2926479342933178,56.438011321518,57.60135023710067,56.273224689031245,57.76613686958742,1.135429122493615e-116,four restrictions within overload,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,3.4062873674808447e-116
no_direct_capacity,full_action,overload,88,274.2955217320986,15.81178326086517,1.685541759038052,270.94532497287037,277.6457184913269,269.99621610231435,278.5948273618829,6.919332222716436e-110,four restrictions within overload,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.3838664445432872e-109
no_release_pacing_authority,full_action,overload,88,39.563106879080586,1.754084403687583,0.18698602570719822,39.19145190584353,39.93476185231764,39.08616225952234,40.04005149863883,8.848835024450949e-120,four restrictions within overload,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,3.5395340097803795e-119
no_disclosure,full_action,overload,88,7.841942018109948,2.291339799478375,0.24425764333145514,7.356453503382918,8.327430532836978,7.218914878342092,8.464969157877803,5.179742484961061e-50,four restrictions within overload,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,5.179742484961061e-50
no_readiness,full_action,route_resource_loss,88,31.079677688054424,3.7979952560984653,0.40486765465770147,30.274959384709234,31.884395991399614,30.046983138866395,32.112372237242454,1.0400161782838727e-81,four restrictions within route_resource_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,4.1600647131354908e-81
no_direct_capacity,full_action,route_resource_loss,88,100.87329467452851,13.98866867122765,1.49119709078351,97.90937898740567,103.83721036165134,97.0697033288105,104.67688602024651,5.214700237992175e-77,four restrictions within route_resource_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.5644100713976524e-76
no_release_pacing_authority,full_action,route_resource_loss,88,12.537100867531846,2.3412550638060545,0.2495786283873256,12.041036318841556,13.033165416222136,11.900501509286439,13.173700225777253,4.794405994857032e-66,four restrictions within route_resource_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,9.588811989714064e-66
no_disclosure,full_action,route_resource_loss,88,-22.373465720497098,7.546407192362889,0.8044497096614494,-23.972396625542117,-20.77453481545208,-24.425372857819877,-20.32155858317432,4.577473164884871e-45,four restrictions within route_resource_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,4.577473164884871e-45
no_readiness,full_action,action_loss,88,-119.69883545813701,4.824265119829522,0.5142683897185194,-120.72099956850101,-118.67667134777301,-121.01057809001267,-118.38709282626135,2.237372443562317e-123,four restrictions within action_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,8.949489774249268e-123
no_direct_capacity,full_action,action_loss,88,-430.05334851818355,43.35970030417639,4.622159582907493,-439.2403911839968,-420.8663058523703,-441.843075239577,-418.2636217967901,6.891194144668981e-89,four restrictions within action_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.3782388289337963e-88
no_release_pacing_authority,full_action,action_loss,88,21.830422276651614,6.527943746856056,0.6958811415794194,20.447283156646705,23.213561396656523,20.05544061653509,23.605403936768138,3.3096556345620226e-49,four restrictions within action_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,3.3096556345620226e-49
no_disclosure,full_action,action_loss,88,-42.556908600604245,3.3017930073063604,0.3519723172078306,-43.25649169317663,-41.85732550803186,-43.45468319253334,-41.65913400867515,1.0352128360940335e-98,four restrictions within action_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,3.1056385082821006e-98
no_readiness,full_action,clearance_probability,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,four restrictions within clearance_probability,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_direct_capacity,full_action,clearance_probability,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,four restrictions within clearance_probability,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_release_pacing_authority,full_action,clearance_probability,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,four restrictions within clearance_probability,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_disclosure,full_action,clearance_probability,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,four restrictions within clearance_probability,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_readiness,full_action,restricted_mean_clearance_time,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,four restrictions within restricted_mean_clearance_time,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_direct_capacity,full_action,restricted_mean_clearance_time,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,four restrictions within restricted_mean_clearance_time,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_release_pacing_authority,full_action,restricted_mean_clearance_time,88,-0.011363636363636364,0.10660035817780522,0.011363636363636364,-0.03395009410896671,0.011222821381693983,-0.040348824972007036,0.017621552244734304,0.3200837731316944,four restrictions within restricted_mean_clearance_time,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_disclosure,full_action,restricted_mean_clearance_time,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,four restrictions within restricted_mean_clearance_time,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0
no_readiness,full_action,final_outstanding,88,1.9956069114230373e-09,5.821076841251535e-10,6.205288762579406e-11,1.8722700780814933e-09,2.1189437447645813e-09,1.8373288220886021e-09,2.1538850007574724e-09,4.519318155202709e-50,four restrictions within final_outstanding,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,9.038636310405418e-50
no_direct_capacity,full_action,final_outstanding,88,6.369439049095526e-09,1.5714327765379693e-09,1.6751529683129046e-10,6.0364842578208015e-09,6.70239384037025e-09,5.942158351432617e-09,6.796719746758435e-09,5.551417099005199e-56,four restrictions within final_outstanding,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.6654251297015596e-55
no_release_pacing_authority,full_action,final_outstanding,88,-7.53796067277181e-09,6.022902932122654e-08,6.420436098344282e-09,-2.0299272633254324e-08,5.223351287710704e-09,-2.3914545183519856e-08,8.838623837976234e-09,0.24357589084888695,four restrictions within final_outstanding,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,0.24357589084888695
no_disclosure,full_action,final_outstanding,88,4.468178396446966e-09,1.0334699949345717e-09,1.1016827162603988e-10,4.249207027394695e-09,4.687149765499237e-09,4.1871725608539366e-09,4.749184232039996e-09,2.721841550157371e-58,four restrictions within final_outstanding,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0887366200629485e-57
