forecast_model,horizon_months,origin_month,target_month,log_predictive_density,origin_high_risk_probability,forecast_high_risk_probability,target_in_heldout,hmm_parameters_refit
unconditional,1,2025-06-01,2025-07-01,-17.790788877966584,1.0,0.11645127765513666,True,False
persistence,1,2025-06-01,2025-07-01,-15.640506566960376,1.0,1.0,True,False
hmm_transition,1,2025-07-01,2025-08-01,5.606733477387259,1.0,0.31968230086847177,True,False
unconditional,1,2025-07-01,2025-08-01,5.868120020292833,1.0,0.11645127765513666,True,False
persistence,1,2025-07-01,2025-08-01,-14.10762790466613,1.0,1.0,True,False
hmm_transition,1,2025-08-01,2025-09-01,6.8681490209874365,8.767589943775014e-10,0.08966553111321415,True,False
unconditional,1,2025-08-01,2025-09-01,6.838283378006013,8.767589943775014e-10,0.11645127765513666,True,False
persistence,1,2025-08-01,2025-09-01,6.962092218819691,8.767589943775014e-10,8.767589943775014e-10,True,False
hmm_transition,1,2025-09-01,2025-10-01,1.4280242884455245,6.429334072335801e-11,0.08966553092633342,True,False
unconditional,1,2025-09-01,2025-10-01,1.398158650809823,6.429334072335801e-11,0.11645127765513666,True,False
persistence,1,2025-09-01,2025-10-01,1.5219674704668051,6.429334072335801e-11,6.429334072335801e-11,True,False
hmm_transition,1,2025-10-01,2025-11-01,0.14207297190845114,1.648244534532188e-08,0.08966553470278371,True,False
unconditional,1,2025-10-01,2025-11-01,0.1122073449587138,1.648244534532188e-08,0.11645127765513666,True,False
persistence,1,2025-10-01,2025-11-01,0.23601612232398936,1.648244534532188e-08,1.648244534532188e-08,True,False
hmm_transition,1,2025-11-01,2025-12-01,4.030457260820653,3.5818461899744815e-08,0.0896655391503918,True,False
unconditional,1,2025-11-01,2025-12-01,4.0005916270551785,3.5818461899744815e-08,0.11645127765513666,True,False
persistence,1,2025-11-01,2025-12-01,4.124400431395015,3.5818461899744815e-08,3.5818461899744815e-08,True,False
hmm_transition,1,2025-12-01,2026-01-01,-8.660859076129006,1.209301497517335e-09,0.0896655311897045,True,False
unconditional,1,2025-12-01,2026-01-01,-8.690657596930903,1.209301497517335e-09,0.11645127765513666,True,False
persistence,1,2025-12-01,2026-01-01,-8.56711443109388,1.209301497517335e-09,1.209301497517335e-09,True,False
hmm_transition,1,2026-01-01,2026-02-01,0.8480762200292539,0.00019853290507761424,0.08971119680910099,True,False
unconditional,1,2026-01-01,2026-02-01,0.81826074712502,0.00019853290507761424,0.11645127765513666,True,False
persistence,1,2026-01-01,2026-02-01,0.9418710157234754,0.00019853290507761424,0.00019853290507761424,True,False
hmm_transition,1,2026-02-01,2026-03-01,-24.701531564211365,1.539883987174859e-08,0.08966553445353628,True,False
unconditional,1,2026-02-01,2026-03-01,-24.440145060177212,1.539883987174859e-08,0.11645127765513666,True,False
persistence,1,2026-02-01,2026-03-01,-40.278836412538844,1.539883987174859e-08,1.539883987174859e-08,True,False
hmm_transition,1,2026-03-01,2026-04-01,-17.84657842057137,1.0,0.31968230086847177,True,False
unconditional,1,2026-03-01,2026-04-01,-18.856433145441112,1.0,0.11645127765513666,True,False
persistence,1,2026-03-01,2026-04-01,-16.706150834434904,1.0,1.0,True,False
hmm_transition,1,2026-04-01,2026-05-01,-16.814560043063825,1.0,0.31968230086847177,True,False
unconditional,1,2026-04-01,2026-05-01,-17.824125561630712,1.0,0.11645127765513666,True,False
persistence,1,2026-04-01,2026-05-01,-15.674245218484598,1.0,1.0,True,False
hmm_transition,1,2026-05-01,2026-06-01,-7.102147781023779,0.9998872448001074,0.31965636528159663,True,False
unconditional,1,2026-05-01,2026-06-01,-6.840871469434867,0.9998872448001074,0.11645127765513666,True,False
persistence,1,2026-05-01,2026-06-01,-14.745523635129862,0.9998872448001074,0.9998872448001074,True,False
hmm_transition,2,2024-11-01,2025-01-01,4.520878632652848,5.36856832122588e-11,0.11029010671113182,True,False
unconditional,2,2024-11-01,2025-01-01,4.513929622915971,5.36856832122588e-11,0.11645127765513666,True,False
persistence,2,2024-11-01,2025-01-01,4.637738463806222,5.36856832122588e-11,5.36856832122588e-11,True,False
hmm_transition,2,2024-12-01,2025-02-01,4.938164810848612,1.0534180590983966e-09,0.11029010676402537,True,False
unconditional,2,2024-12-01,2025-02-01,4.931215801162761,1.0534180590983966e-09,0.11645127765513666,True,False
persistence,2,2024-12-01,2025-02-01,5.0550246411949304,1.0534180590983966e-09,1.0534180590983966e-09,True,False
hmm_transition,2,2025-01-01,2025-03-01,-3.680214587605209,6.221738102957196e-10,0.1102901067412092,True,False
unconditional,2,2025-01-01,2025-03-01,-3.687163409464485,6.221738102957196e-10,0.11645127765513666,True,False
persistence,2,2025-01-01,2025-03-01,-3.563357727977558,6.221738102957196e-10,6.221738102957196e-10,True,False
hmm_transition,2,2025-02-01,2025-04-01,3.5656762234736012,5.163146006397362e-10,0.11029010673560845,True,False
unconditional,2,2025-02-01,2025-04-01,3.558727213856479,5.163146006397362e-10,0.11645127765513666,True,False
persistence,2,2025-02-01,2025-04-01,3.682536052732901,5.163146006397362e-10,5.163146006397362e-10,True,False
hmm_transition,2,2025-03-01,2025-05-01,-2.7021200454112964,2.361303498588908e-06,0.11029023163946268,True,False
unconditional,2,2025-03-01,2025-05-01,-2.709068841910077,2.361303498588908e-06,0.11645127765513666,True,False
