residual_date,origin_date,forecast_horizon,observed_value,predicted_value,residual,selected_model,training_cutoff
2023-06-12,2023-06-05,1,3199104.0,3765239.401842666,-566135.4018426659,harmonic_ridge,2023-06-05
2023-06-19,2023-06-12,1,3391282.0,3733540.847018941,-342258.84701894084,harmonic_ridge,2023-06-12
2023-06-26,2023-06-19,1,3854087.0,3699939.462539547,154147.53746045288,harmonic_ridge,2023-06-19
2023-07-03,2023-06-26,1,3254471.0,3680791.3214378017,-426320.3214378017,harmonic_ridge,2023-06-26
2023-07-10,2023-07-03,1,3388470.0,3636773.451336001,-248303.45133600105,harmonic_ridge,2023-07-03
2023-07-17,2023-07-10,1,3065536.0,3604788.064182904,-539252.0641829041,harmonic_ridge,2023-07-10
2023-07-24,2023-07-17,1,2469622.0,3570177.588262613,-1100555.588262613,harmonic_ridge,2023-07-17
2023-07-31,2023-07-24,1,3579330.0,3525330.2227142323,53999.77728576772,harmonic_ridge,2023-07-24
2023-08-07,2023-07-31,1,4099954.0,3541123.0231979378,558830.9768020622,harmonic_ridge,2023-07-31
2023-08-14,2023-08-07,1,4140828.0,3588703.6450199042,552124.3549800958,harmonic_ridge,2023-08-07
2023-08-21,2023-08-14,1,3600604.0,3641947.9948758627,-41343.99487586273,harmonic_ridge,2023-08-14
2023-08-28,2023-08-21,1,3341396.0,3670245.51494941,-328849.5149494102,harmonic_ridge,2023-08-21
2023-09-04,2023-08-28,1,3504766.0,3678942.2970721484,-174176.29707214842,harmonic_ridge,2023-08-28
2023-09-11,2023-09-04,1,3229473.0,3679380.1503552003,-449907.1503552003,harmonic_ridge,2023-09-04
2023-09-18,2023-09-11,1,3720170.0,3648861.4321136335,71308.56788636651,harmonic_ridge,2023-09-11
2023-09-25,2023-09-18,1,3775079.0,3615793.990316705,159285.00968329515,harmonic_ridge,2023-09-18
2023-10-02,2023-09-25,1,3339188.0,3561117.415503429,-221929.41550342878,harmonic_ridge,2023-09-25
2023-10-09,2023-10-02,1,3928276.0,3467214.5409830036,461061.45901699644,harmonic_ridge,2023-10-02
2023-10-16,2023-10-09,1,3844437.0,3380102.030726609,464334.9692733912,harmonic_ridge,2023-10-09
2023-10-23,2023-10-16,1,3023746.0,3278602.153855819,-254856.1538558188,harmonic_ridge,2023-10-16
2023-10-30,2023-10-23,1,3210469.0,3142517.048046467,67951.9519535331,harmonic_ridge,2023-10-23
2023-11-06,2023-10-30,1,2301476.0,3021994.9114046292,-720518.9114046292,harmonic_ridge,2023-10-30
2023-11-13,2023-11-06,1,2990144.0,2883947.578182779,106196.42181722121,harmonic_ridge,2023-11-06
2023-11-20,2023-11-13,1,2288679.0,2799698.145162833,-511019.1451628329,harmonic_ridge,2023-11-13
2023-11-27,2023-11-20,1,2480569.0,2720565.2134255203,-239996.21342552034,harmonic_ridge,2023-11-20
2023-12-04,2023-11-27,1,2517427.0,2685040.2102223104,-167613.2102223104,harmonic_ridge,2023-11-27
2023-12-11,2023-12-04,1,2354780.0,2686633.977310017,-331853.9773100172,harmonic_ridge,2023-12-04
2023-12-18,2023-12-11,1,2718753.0,2714129.5687752333,4623.431224766653,harmonic_ridge,2023-12-11
2023-12-25,2023-12-18,1,2417813.0,2781599.3284128984,-363786.32841289835,harmonic_ridge,2023-12-18
2024-01-01,2023-12-25,1,2014355.0,2854765.6234400333,-840410.6234400333,harmonic_ridge,2023-12-25
2024-01-08,2024-01-01,1,2013958.0,2921365.1668771887,-907407.1668771887,harmonic_ridge,2024-01-01
2024-01-15,2024-01-08,1,3091682.0,2988685.1740441737,102996.82595582632,harmonic_ridge,2024-01-08
2024-01-22,2024-01-15,1,3549032.0,3088929.407608788,460102.592391212,harmonic_ridge,2024-01-15
2024-01-29,2024-01-22,1,3109300.0,3190182.4442007807,-80882.44420078071,harmonic_ridge,2024-01-22
2024-02-05,2024-01-29,1,3013912.0,3253563.2643381013,-239651.26433810126,harmonic_ridge,2024-01-29
2024-02-12,2024-02-05,1,2960981.0,3290941.618050563,-329960.61805056315,harmonic_ridge,2024-02-05
2024-02-19,2024-02-12,1,2413748.0,3305692.4740746394,-891944.4740746394,harmonic_ridge,2024-02-12
2024-02-26,2024-02-19,1,3073834.0,3284099.092426562,-210265.09242656222,harmonic_ridge,2024-02-19
2024-03-04,2024-02-26,1,3061520.0,3278071.6277344157,-216551.6277344157,harmonic_ridge,2024-02-26
2024-03-11,2024-03-04,1,3592941.0,3268628.4637853885,324312.5362146115,harmonic_ridge,2024-03-04
2024-03-18,2024-03-11,1,4187213.0,3281791.854208716,905421.1457912838,harmonic_ridge,2024-03-11
2024-03-25,2024-03-18,1,3447426.0,3323370.435419093,124055.56458090711,harmonic_ridge,2024-03-18
2024-04-01,2024-03-25,1,2932448.0,3347433.4707666524,-414985.4707666524,harmonic_ridge,2024-03-25
2024-04-08,2024-04-01,1,3331930.0,3364793.421487882,-32863.4214878818,harmonic_ridge,2024-04-01
2024-04-15,2024-04-08,1,2529209.0,3408216.064635316,-879007.0646353159,harmonic_ridge,2024-04-08
