path_id,selected_policy_loss,bc_policy_loss,sac_policy_loss,selector_ex_post_regret,interpretation_boundary
test_000_4ae657b9eeec,118425.61582376699,117878.55670256354,294010.75062749704,547.0591212034487,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_019_9d2b7462a57a,116016.85790117928,115535.43817827437,306587.8257638879,481.4197229049023,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_020_701c8d28bc45,121089.7879642604,120511.00487793602,297653.1973005699,578.7830863243726,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_021_69299bc5d0bf,110590.54824416719,110096.35246547435,284419.868596059,494.19577869283967,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_022_1b3e72c80b5f,109115.63679224551,108577.09064963348,289187.9155189526,538.546142612031,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_023_90a8af416c5a,117844.57236306602,117357.22392676522,304303.0728374135,487.34843630080286,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_024_e90f261f99e2,119039.20674165408,118518.17093259835,285130.03919502365,521.0358090557274,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_025_0c3eeaae0824,118454.96705089428,117904.28315508942,287831.54494197544,550.6838958048611,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_026_770d47ae1768,127157.14237649845,126414.77179566321,286290.4669905544,742.3705808352388,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_027_df5d670513fa,111806.02555462542,111229.15712439457,287614.07000694686,576.8684302308538,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_028_e9fb02365dd3,108607.88654514066,107862.0017427308,272189.88241519267,745.8848024098552,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_029_b44f60718c5a,114607.54803805862,114340.9717397938,275039.3663520078,266.57629826483026,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_030_038f4c53d11f,109959.36064952069,109464.42175144544,283274.0410622998,494.93889807525557,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
