parameter,objective_persisted,analytic_gradient_persisted,finite_difference_gradient_persisted,relative_error_persisted,tolerance_persisted,passed_persisted,objective_recalculated,analytic_gradient_recalculated,finite_difference_gradient_recalculated,relative_error_recalculated,tolerance_recalculated,passed_recalculated,recalculation_relative_error,status
log_standard_deviation[23],0.3388845688064331,-0.05,-0.0499999999993442,6.557671072826565e-13,0.0001,True,0.3388845688064331,-0.05,-0.0499999999901771,9.822899438294286e-12,0.0001,True,9.16709763654211e-12,PASS
log_standard_deviation[24],0.3388845688064331,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True,0.3388845688064331,-0.05,-0.049999999999344236,6.557671072826565e-13,0.0001,True,9.16706294207259e-12,PASS
log_standard_deviation[25],0.3388845688064331,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True,0.3388845688064331,-0.05,-0.049999999999344236,6.557671072826565e-13,0.0001,True,9.16706294207259e-12,PASS
log_standard_deviation[26],0.3388845688064331,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True,0.3388845688064331,-0.05,-0.049999999999344236,6.557671072826565e-13,0.0001,True,9.16706294207259e-12,PASS
log_standard_deviation[27],0.3388845688064331,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True,0.3388845688064331,-0.05,-0.049999999999344236,6.557671072826565e-13,0.0001,True,9.16706294207259e-12,PASS
log_standard_deviation[28],0.3388845688064331,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True,0.3388845688064331,-0.05,-0.049999999999344236,6.557671072826565e-13,0.0001,True,9.16706294207259e-12,PASS
log_standard_deviation[29],0.3388845688064331,-0.05,-0.0499999999993442,6.557671072826565e-13,0.0001,True,0.3388845688064331,-0.05,-0.0499999999901771,9.822899438294286e-12,0.0001,True,9.16709763654211e-12,PASS
log_standard_deviation[30],0.3388845688064331,-0.0468668404347215,-0.0468668404330266,1.6948387138171485e-12,0.0001,True,0.3388845688064331,-0.04686684043472151,-0.0468668404284431,6.278408348769915e-12,0.0001,True,4.5835002460137275e-12,PASS
log_standard_deviation[31],0.3388845688064331,-0.0512772072171988,-0.051277207212671,4.52782950022268e-12,0.0001,True,0.3388845688064331,-0.05127720721719887,-0.051277207208087476,9.111392196281543e-12,0.0001,True,4.583521062695439e-12,PASS
log_standard_deviation[32],0.3388845688064331,-0.0506632988289766,-0.0506632988333177,4.341089987480729e-12,0.0001,True,0.3388845688064331,-0.050663298828976695,-0.050663298828734216,2.424796474720381e-13,0.0001,True,4.58348636822592e-12,PASS
log_standard_deviation[33],0.3388845688064331,-0.0486919924856879,-0.0486919924870366,1.348719746996352e-12,0.0001,True,0.3388845688064331,-0.048691992485687945,-0.0486919924824531,3.2348429490625108e-12,0.0001,True,4.5835002460137275e-12,PASS
