policy,seed_index,training_seed,episode,period_offset,state_sha256,latent_sample_sha256,reward_critic_target,reward_critic_q1_before_update,reward_critic_q2_before_update,reward_critic_q1_squared_loss,reward_critic_q2_squared_loss,constraint_critic_target,constraint_critic_before_update,constraint_critic_squared_loss,preprojection_log_probability_recorded,preprojection_log_probability_recalculated,latent_entropy,entropy_temperature_before,entropy_actor_contribution,constraint_dual_before,q1_actor_value,q2_actor_value,constraint_actor_value,actor_loss_recorded,actor_loss_recalculated,actor_loss_relative_error,temperature_gradient_recorded,temperature_gradient_recalculated,temperature_gradient_relative_error,entropy_temperature_after,constraint_dual_after,projection_distance,projection_feasibility_residual,weight_gradient_norm,log_standard_deviation_gradient_norm
Vanilla SAC,0,3760190062,1,10,348c9b465dfaf1fa81442172948be222d56e1c59dc7b51b768d6e2383b382a3b,a615189d0ef369beb53547c83a5fa4f23d3ac8325988711f002bf4e4af03cac7,-84923.66510577167,-17590.45543453703,-17590.456006160766,4533761124.6304455,4533761047.651924,21.139191929662285,0.0,0.0,0.8632433864353534,0.8632433864353534,-0.8632433864353534,0.03804523371733794,0.032842296391879286,0.0,-18060.767260828936,-18060.768081128484,0.0,18060.800923424875,18060.800923424875,0.0,1.2606956499976107,1.2606956499976107,0.0,0.03709795696584857,0.0,0.04733343499876218,0.0,12.612896170091958,0.40538915174518597
Vanilla SAC,0,3760190062,1,11,22384f10f47fc33d4462e35c6b66bdf0ec1ef686b125fb38f6a4f97fb427c303,cbe7d68f0098189da57dda0a9b307f85c4c63e64efee06a3e6f648a52def487c,-85379.15963716852,-20384.43737478139,-20384.438010659927,4224313921.96484,4224313839.307343,23.436745239722725,0.0,0.0,2.9438878908044406,2.9438878908044406,-2.9438878908044406,0.03709795696584857,0.10921222628534585,0.0,-20707.02791479232,-20707.02889747622,0.0,20707.138109702504,20707.138109702504,0.0,1.1521183105535056,1.1521183105535056,0.0,0.03625290563657166,0.0,0.05670316189590273,0.0,8.46919607190247,0.32421091030057203
Vanilla SAC,0,3760190062,1,12,e9a2d087e913579712b66de4b49a7a7dc1d0fc2b2462a47258179d2b51073c12,bcd0a10969b6bcbb6cf34f61a51fd74e1a8fbc9a0938b8249223387872530d7d,-85727.76308896387,-22631.115887391115,-22631.116490032673,3981186888.079738,3981186812.030416,26.287502251169354,0.0,0.0,1.78763163208612,1.78763163208612,-1.78763163208612,0.03625290563657166,0.06480684087096869,0.0,-22872.757714161547,-22872.75860059183,0.0,22872.8234074327,22872.8234074327,0.0,1.1677919507724677,1.1677919507724677,0.0,0.03541599996935618,0.0,0.01513710029103571,0.0,70.34395570279543,2.7080981734012823
Vanilla SAC,0,3760190062,1,13,8b2b42836e3e5793ed58964b0b2532305910eba41559f2b6346e6ff2c4e766bb,b51fc24dd55bae635497756936d9e29fb2d85b2fff40379661e77670ef6c8eb8,-85947.42398567032,-24716.274155645242,-24716.274657560985,3749253709.506981,3749253648.0412245,29.630622555919604,0.0,0.0,5.617601456711753,5.617601456711753,-5.617601456711753,0.03541599996935618,0.1989529730187587,0.0,-24883.662035608493,-24883.662779577255,0.0,24883.861732550275,24883.861732550275,0.0,1.0051910259393515,1.0051910259393515,0.0,0.03471111227103456,0.0,0.013623239559974132,0.0,3.58417193577532,0.23690563065559708
Vanilla SAC,0,3760190062,1,14,2e5d1d98541c1b4fbff03af9f363d22bd18912f5aaaee8b9d2b1658186a5c74e,8d645e1d3718781d2029fe4b9056bc2fac19d3717546c1ddd86f76e373687bee,-86094.68563319893,-27151.88337605804,-27151.884182704787,3474253937.9244127,3474253842.832374,31.992068911821697,0.0,0.0,6.112317334530201,6.112317334530201,-6.112317334530201,0.03471111227103456,0.2121653332350685,0.0,-27233.005853389062,-27233.006849646477,0.0,27233.219014979713,27233.219014979713,0.0,0.9680124839801065,0.9680124839801065,0.0,0.034045559889311294,0.0,0.01386169553617797,0.0,2.697513818107019,0.20335791162573877
Vanilla SAC,0,3760190062,1,15,4b28569fbc27db2051c43af0093516d3bacdaf5d1be2885bbf8ad089af4356b2,73c812ef59de59ebfd15b3716ad0b3a41eba29320209c303a726ec1c5d9fe2c4,-86158.37856628097,-29898.01735504904,-29898.01816649535,3165228243.6182895,3165228152.313766,33.36093940812152,0.0,0.0,1.9115013906476477,1.9115013906476477,-1.9115013906476477,0.034045559889311294,0.06507813507379631,0.0,-29791.776666623067,-29791.7776910276,0.0,29791.842769162675,29791.842769162675,0.0,1.0924709011627876,1.0924709011627876,0.0,0.03330975197923861,0.0,0.07624174725034213,0.0,1.8049849402550777,0.20411389233935712
Vanilla SAC,0,3760190062,1,16,7671f8d4f7aa61bc932c9a1795cbbd39f7e95216267110c31c7a83e540e7af28,3f38a2d1c7a3bb00f3066fa54afd207c9f083d0f317558c36c2e9c0013ce8c63,-86133.9810336153,-32525.023248182195,-32525.024194808277,2873920354.840349,2873920253.3450747,34.87359559942462,0.0,0.0,3.997129534170069,3.997129534170069,-3.997129534170069,0.03330975197923861,0.13314339341209458,0.0,-32520.08351245668,-32520.084651651327,0.0,32520.21779504474,32520.21779504474,0.0,0.9993881738820182,0.9993881738820182,0.0,0.032650574225263906,0.0,0.11218876540349493,0.0,1.430874071114524,0.19569551552311626
Vanilla SAC,0,3760190062,1,17,7ee8953c4a13a3333266373c9be8f4808b858a8399e4cb1a9b273c990492f671,30bf1371fa69b7b3fedd0bff9bb9d7167659aede6d3134a07b4277c2f3b3f2c1,-85997.7454832776,-34007.436953407734,-34007.43793753049,2702992181.0310593,2702992078.7013683,35.35010956862807,0.0,0.0,8.069025815442822,8.069025815442822,-8.069025815442822,0.032650574225263906,0.2634583263126865,0.0,-33991.59583104288,-33991.59698394038,0.0,33991.86044226669,33991.86044226669,0.0,0.8466611973462864,0.8466611973462864,0.0,0.032102349445890715,0.0,0.05642768258622907,0.0,1.0433712950771865,0.19154958370294367
Vanilla SAC,0,3760190062,1,18,d351da020675525da927b73cc5d0dca15e8b449c7c8daac392023dc34afe9312,5b0ff986ff98ccc77eb4c5962945d90d227533d0ede4b3810510f612643b4b04,-85921.72622444443,-34924.13115728078,-34924.1322807868,2600754702.6343937,2600754588.0421853,36.138297659506016,0.0,0.0,2.424775844971072,2.424775844971072,-2.424775844971072,0.032102349445890715,0.0778410015032163,0.0,-34948.380846372995,-34948.382085449346,0.0,34948.45992645085,34948.45992645085,0.0,1.0136388796570681,1.0136388796570681,0.0,0.03145809810213937,0.0,0.05192891942487804,0.0,1.1246083360413353,0.18071158715046062
Vanilla SAC,0,3760190062,1,19,aaf3875a69bfb80c2ed2fdafac70bbbef70002eb463b979b8189108a7ffc9a66,2bb9a06616e1586b5f6a01670e694c8d9f875660cce22c878e4586f0adbe0ff1,-85879.7303774847,-35202.36925342843,-35202.3704333467,2568194930.4980097,2568194810.907722,36.28798484116192,0.0,0.0,3.8340936383847914,3.8340936383847914,-3.8340936383847914,0.03145809810213937,0.12061329380909724,0.0,-35216.76869758269,-35216.76997446511,0.0,35216.89058775892,35216.89058775892,0.0,0.9489620416636413,0.9489620416636413,0.0,0.03086667739308021,0.0,0.02227697801407122,0.0,0.9253436814830998,0.18552324684875487
