policy,path_id,training_seed,right_censored,clearance_weeks_observed,restricted_clearance_time_contribution,ending_outstanding_mass,terminal_correction,decision_clearance_terminal_residual,exit_channel_residual,clearance_observation_valid,restricted_clearance_time_residual,terminal_once_valid,status
PPO,test_005_981c73a17708,1694234878.0,False,79,79,5.141734093543062e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_005_981c73a17708,1635820214.0,False,79,79,5.460805862846518e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_005_981c73a17708,456241246.0,False,79,79,5.323689460178323e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_005_981c73a17708,3760190062.0,False,78,78,7.337317758502553e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_005_981c73a17708,3890281123.0,False,78,78,7.337335568591491e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_005_981c73a17708,4226533458.0,False,78,78,7.337407633613271e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_005_981c73a17708,301721597.0,False,78,78,7.337096693321021e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_005_981c73a17708,554911178.0,False,78,78,7.337436770231073e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_005_981c73a17708,1600960620.0,False,78,78,7.337298138978819e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_005_981c73a17708,301721597.0,False,79,79,5.451818345040024e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_005_981c73a17708,554911178.0,False,79,79,5.472848817732719e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Model-guided constrained SAC,test_005_981c73a17708,1600960620.0,False,79,79,5.463562346864334e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Passive,test_006_daba4b1e9814,,False,78,78,7.900922695745474e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_006_daba4b1e9814,,False,79,79,6.324779083276349e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_006_daba4b1e9814,,False,79,79,6.346226449729109e-07,0.0,2.9103830456733704e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_006_daba4b1e9814,1409200687.0,False,79,79,6.432547316139045e-07,0.0,4.3655745685100555e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_006_daba4b1e9814,3018804584.0,False,79,79,6.453452970239273e-07,0.0,1.4551915228366852e-11,9.094947017729282e-13,True,0,True,PASS
Behaviour cloning,test_006_daba4b1e9814,959653586.0,False,79,79,6.444643033999487e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_006_daba4b1e9814,1694234878.0,False,79,79,6.03092642722374e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_006_daba4b1e9814,1635820214.0,False,79,79,6.417944397394199e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_006_daba4b1e9814,456241246.0,False,79,79,6.257451993430343e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_006_daba4b1e9814,3760190062.0,False,78,78,7.90037827891701e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_006_daba4b1e9814,3890281123.0,False,78,78,7.900465423132976e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Vanilla SAC,test_006_daba4b1e9814,4226533458.0,False,78,78,7.900531513899918e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_006_daba4b1e9814,301721597.0,False,78,78,7.900319117240211e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_006_daba4b1e9814,554911178.0,False,78,78,7.900711963420081e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Constrained SAC,test_006_daba4b1e9814,1600960620.0,False,78,78,7.900577255455864e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_006_daba4b1e9814,301721597.0,False,79,79,6.43712370294556e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_006_daba4b1e9814,554911178.0,False,79,79,6.457352588567288e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_006_daba4b1e9814,1600960620.0,False,79,79,6.448016336447895e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Passive,test_007_925513ee8ec6,,False,78,78,6.004628364288005e-07,0.0,5.820766091346741e-11,3.637978807091713e-12,True,0,True,PASS
Reactive,test_007_925513ee8ec6,,False,79,79,5.104260934558628e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_007_925513ee8ec6,,False,79,79,5.122531672292937e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_007_925513ee8ec6,1409200687.0,False,79,79,5.185935389849073e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_007_925513ee8ec6,3018804584.0,False,79,79,5.204453882835262e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_007_925513ee8ec6,959653586.0,False,79,79,5.197019841956752e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_007_925513ee8ec6,1694234878.0,False,79,79,4.9516621715305e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_007_925513ee8ec6,1635820214.0,False,79,79,5.221368493671827e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_007_925513ee8ec6,456241246.0,False,79,79,5.115566086863689e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_007_925513ee8ec6,3760190062.0,False,78,78,6.00422040787338e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_007_925513ee8ec6,3890281123.0,False,78,78,6.004376652047719e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_007_925513ee8ec6,4226533458.0,False,78,78,6.004360221350074e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_007_925513ee8ec6,301721597.0,False,78,78,6.004231975092314e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_007_925513ee8ec6,554911178.0,False,78,78,6.004449415910118e-07,0.0,0.0,3.637978807091713e-12,True,0,True,PASS
Constrained SAC,test_007_925513ee8ec6,1600960620.0,False,78,78,6.004383760683187e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_007_925513ee8ec6,301721597.0,False,79,79,5.190185695481178e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_007_925513ee8ec6,554911178.0,False,79,79,5.207908340472398e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
