policy,path_id,training_seed,total_operational_objective,loss_queue,loss_waiting,loss_exit,loss_overflow,loss_route_resource,loss_action,terminal_correction,recalculated_component_sum,absolute_reconciliation_error,relative_reconciliation_error,route_resource_cost_present,tolerance,status
Vanilla SAC,test_000_4ae657b9eeec,3890281123.0,294001.31697996875,6973.275991931157,271847.32644516195,11623.094198234996,2718.6133404911807,836.4862866478634,2.520717501481292,0.0,294001.31697996863,1.1641532182693481e-10,3.9596870865332405e-16,True,1e-06,PASS
Vanilla SAC,test_000_4ae657b9eeec,4226533458.0,293984.6938832882,6973.214825510432,271829.8806757541,11622.257282457558,2718.543878870074,836.4790996226051,4.318121073380119,0.0,293984.6938832881,5.820766091346741e-11,1.9799554917160356e-16,True,1e-06,PASS
Constrained SAC,test_000_4ae657b9eeec,301721597.0,294013.3654948239,6974.103630003879,271856.26822871243,11623.45554679326,2719.105030249708,836.5413946063283,3.8916644582949353,0.0,294013.3654948239,0.0,0.0,True,1e-06,PASS
Constrained SAC,test_000_4ae657b9eeec,554911178.0,294004.24136665405,6973.57622394816,271848.78025606944,11623.12266504303,2718.7814850775244,836.51214740816,3.468589107725544,0.0,294004.24136665405,0.0,0.0,True,1e-06,PASS
Constrained SAC,test_000_4ae657b9eeec,1600960620.0,294014.6450210132,6973.711151909964,271859.4084764349,11623.619376829143,2718.8668197908937,836.5263743675827,2.5128216806719443,0.0,294014.64502101316,5.820766091346741e-11,1.9797537945535777e-16,True,1e-06,PASS
Model-guided constrained SAC,test_000_4ae657b9eeec,301721597.0,116887.28831107188,8961.153137989593,98053.60606013116,3912.4031566143713,3605.111693910252,1392.207683985,962.806578441547,0.0,116887.28831107193,4.3655745685100555e-11,3.7348582823582677e-16,True,1e-06,PASS
Model-guided constrained SAC,test_000_4ae657b9eeec,554911178.0,119851.53042243813,8920.72274643734,101013.69367540102,4021.770258599101,3577.407698939978,1384.874255813811,933.0617872468748,0.0,119851.53042243814,1.4551915228366852e-11,1.214161819801218e-16,True,1e-06,PASS
Model-guided constrained SAC,test_000_4ae657b9eeec,1600960620.0,118538.028737791,8912.53797571063,99791.67048460884,3976.314858366572,3572.7950791031994,1382.127148727879,902.5831912738464,0.0,118538.02873779097,2.9103830456733704e-11,2.4552315207731424e-16,True,1e-06,PASS
Passive,test_001_dde9993de777,,283957.9098247464,6486.286585170654,262996.59838574013,11244.893491448718,2438.47853833208,791.6528240549533,0.0,0.0,283957.90982474654,1.1641532182693481e-10,4.099738651365063e-16,True,1e-06,PASS
Reactive,test_001_dde9993de777,,105621.79222110203,7813.246477262753,89665.30920168382,3621.7202464927486,2716.081992541921,1248.932332958082,556.5019701626769,0.0,105621.792221102,2.9103830456733704e-11,2.755475915027987e-16,True,1e-06,PASS
Projected stochastic MPC,test_001_dde9993de777,,115700.64792533568,9108.940133564602,97505.032371455,3964.4152053009457,3775.7120970078417,1346.5481180072886,0.0,0.0,115700.64792533567,1.4551915228366852e-11,1.2577211527594506e-16,True,1e-06,PASS
Behaviour cloning,test_001_dde9993de777,1409200687.0,120382.89775681189,8318.290068151728,102262.92376799187,4112.5908656772735,3208.181992669811,1272.369543306953,1208.541519014222,0.0,120382.89775681187,1.4551915228366852e-11,1.2088025375301641e-16,True,1e-06,PASS
Behaviour cloning,test_001_dde9993de777,3018804584.0,123458.54777097338,8301.015795928997,105284.75748726269,4228.298848647317,3201.965661862101,1268.0486145582845,1174.461362713995,0.0,123458.54777097338,0.0,0.0,True,1e-06,PASS
Behaviour cloning,test_001_dde9993de777,959653586.0,122135.7014047573,8281.888731875642,104070.80953897368,4180.881363187091,3194.2639740035647,1265.0822376253125,1142.775559092017,0.0,122135.7014047573,0.0,0.0,True,1e-06,PASS
PPO,test_001_dde9993de777,1694234878.0,198580.93229423312,7288.137706467444,179201.40546381017,7260.36621015071,2719.671215604204,1017.122354370112,1094.229343830507,0.0,198580.93229423315,2.9103830456733704e-11,1.4655903827468782e-16,True,1e-06,PASS
PPO,test_001_dde9993de777,1635820214.0,156632.2720846919,7884.458264519634,137933.73819015533,5534.278334020335,3016.3834053542155,1154.5187610735372,1108.8951295688785,0.0,156632.27208469194,2.9103830456733704e-11,1.8580992326407107e-16,True,1e-06,PASS
PPO,test_001_dde9993de777,456241246.0,182825.84969114384,7614.743643366579,163681.5928280496,6606.5177329566495,2892.90654433849,1081.1314182980293,948.9575241346072,0.0,182825.84969114396,1.1641532182693481e-10,6.367552620354321e-16,True,1e-06,PASS
Vanilla SAC,test_001_dde9993de777,3760190062.0,283861.9111425837,6486.001171490545,262902.1461534884,11240.39987251462,2438.0119395656925,791.5658378808374,3.786167643758693,0.0,283861.91114258376,5.820766091346741e-11,2.0505625668189674e-16,True,1e-06,PASS
Vanilla SAC,test_001_dde9993de777,3890281123.0,283893.6537501663,6486.136828947987,262933.04738784034,11241.868418746157,2438.168040917524,791.5971625249151,2.8359111894323696,0.0,283893.6537501664,1.1641532182693481e-10,4.1006665802182137e-16,True,1e-06,PASS
Vanilla SAC,test_001_dde9993de777,4226533458.0,283868.63113488373,6485.900118300377,262907.67068733147,11240.663067552585,2438.004270595011,791.5725418451763,4.820449259189006,0.0,283868.63113488385,1.1641532182693481e-10,4.1010280481332443e-16,True,1e-06,PASS
Constrained SAC,test_001_dde9993de777,301721597.0,283890.65387995617,6486.643032662126,262928.019944257,11241.627022695273,2438.4539172833047,791.6089696843262,4.300993374146199,0.0,283890.65387995617,0.0,0.0,True,1e-06,PASS
Constrained SAC,test_001_dde9993de777,554911178.0,283891.05478657264,6486.300858585331,262929.323793406,11241.66338928271,2438.278015224077,791.6075365020508,3.881193572545058,0.0,283891.05478657276,1.1641532182693481e-10,4.1007041209683434e-16,True,1e-06,PASS
Constrained SAC,test_001_dde9993de777,1600960620.0,283904.3811758784,6486.506733057379,262942.7266845142,11242.293886541289,2438.403448821627,791.6251066185982,2.825316325309457,0.0,283904.3811758784,0.0,0.0,True,1e-06,PASS
Model-guided constrained SAC,test_001_dde9993de777,301721597.0,120974.33938981414,8360.185288234356,102970.739983036,4136.812815194805,3253.9314390185077,1284.7299574370525,967.9399068933792,0.0,120974.3393898141,4.3655745685100555e-11,3.608678163096157e-16,True,1e-06,PASS
Model-guided constrained SAC,test_001_dde9993de777,554911178.0,123979.81597189524,8320.12483611484,105968.27562747568,4249.23710982472,3228.7315201236424,1277.5596867064842,935.8871916498492,0.0,123979.81597189522,1.4551915228366852e-11,1.1737326043188836e-16,True,1e-06,PASS
Model-guided constrained SAC,test_001_dde9993de777,1600960620.0,122601.7144486672,8312.337373506472,104678.79986645794,4200.610038249701,3227.751939752342,1275.1173468858794,907.0978838148689,0.0,122601.71444866719,1.4551915228366852e-11,1.186925916477267e-16,True,1e-06,PASS
Passive,test_002_f01217ab0e79,,282200.0582544001,6398.738135447388,261480.0680717976,11180.051472331032,2362.716385956454,778.484188867785,0.0,0.0,282200.05825440027,1.7462298274040222e-10,6.187914482391128e-16,True,1e-06,PASS
Reactive,test_002_f01217ab0e79,,92063.34463329676,7734.230324206205,76697.65448568195,3059.5084617314083,2690.346407037829,1276.8655043825397,604.7394502567918,0.0,92063.34463329673,2.9103830456733704e-11,3.161283198286895e-16,True,1e-06,PASS
Projected stochastic MPC,test_002_f01217ab0e79,,100543.14806823764,9094.749648524776,82950.11300727313,3330.917311127724,3786.551887653385,1380.8162136586457,0.0,0.0,100543.14806823767,2.9103830456733704e-11,2.894660751718379e-16,True,1e-06,PASS
Behaviour cloning,test_002_f01217ab0e79,1409200687.0,105560.70718248436,8326.444898550579,88035.48722837679,3496.274183978388,3191.4987604398734,1305.8924597755497,1205.109651363193,0.0,105560.70718248437,1.4551915228366852e-11,1.3785352160639414e-16,True,1e-06,PASS
Behaviour cloning,test_002_f01217ab0e79,3018804584.0,108419.92948822308,8314.479526003708,90843.21862022538,3601.164174182489,3186.4748232761094,1302.1319601528403,1172.460384382533,0.0,108419.92948822305,2.9103830456733704e-11,2.684361684619529e-16,True,1e-06,PASS
Behaviour cloning,test_002_f01217ab0e79,959653586.0,107181.16030396028,8298.651361843222,89708.11707074205,3558.267838694043,3176.839118108804,1299.182731097816,1140.1021834743856,0.0,107181.16030396032,4.3655745685100555e-11,4.0730801533865746e-16,True,1e-06,PASS
PPO,test_002_f01217ab0e79,1694234878.0,186318.32188668216,7307.7382504054685,167460.33804119227,6732.6208814802285,2689.275567779184,1040.6384434323477,1087.710702392697,0.0,186318.32188668218,2.9103830456733704e-11,1.5620487648248842e-16,True,1e-06,PASS
PPO,test_002_f01217ab0e79,1635820214.0,141925.37371599188,7893.888391716236,123849.2017918539,4917.818495163885,2975.26977122599,1185.5407396622054,1103.6545263696337,0.0,141925.37371599188,0.0,0.0,True,1e-06,PASS
PPO,test_002_f01217ab0e79,456241246.0,169010.0138247618,7625.6670204224,150465.48500095756,6018.553772541854,2857.183338371597,1108.3757848443674,934.7489076239588,0.0,169010.01382476176,2.9103830456733704e-11,1.7220181099393342e-16,True,1e-06,PASS
Vanilla SAC,test_002_f01217ab0e79,3760190062.0,282144.26123571745,6399.433450613204,261422.61795510704,11177.220374350713,2362.980839622861,778.5021343837781,3.5064816399143783,0.0,282144.2612357175,5.820766091346741e-11,2.0630460693594547e-16,True,1e-06,PASS
Vanilla SAC,test_002_f01217ab0e79,3890281123.0,282164.2315987277,6399.265140394329,261442.7255348043,11178.20271518163,2362.9135558258645,778.5019819627972,2.6226705586569627,0.0,282164.2315987276,1.1641532182693481e-10,4.1258001117764547e-16,True,1e-06,PASS
Vanilla SAC,test_002_f01217ab0e79,4226533458.0,282145.1784599319,6399.197358806879,261422.89183030475,11177.254965934875,2362.8581338405697,778.4928165704291,4.483354474366565,0.0,282145.17845993186,5.820766091346741e-11,2.0630393626142936e-16,True,1e-06,PASS
Constrained SAC,test_002_f01217ab0e79,301721597.0,282177.2294721593,6400.151683414394,261452.4243056959,11178.59491195517,2363.4757209379063,778.5549002124212,4.027949943593447,0.0,282177.2294721594,1.1641532182693481e-10,4.125610065868933e-16,True,1e-06,PASS
Constrained SAC,test_002_f01217ab0e79,554911178.0,282166.6253744375,6399.568420336497,261443.62040085925,11178.203735813977,2363.10332609253,778.5252083719224,3.604282963303272,0.0,282166.6253744375,0.0,0.0,True,1e-06,PASS
Constrained SAC,test_002_f01217ab0e79,1600960620.0,282178.3723556019,6399.719382280808,261455.5559703829,11178.76100343156,2363.182682299657,778.5393592019772,2.6139580049318623,0.0,282178.3723556018,1.1641532182693481e-10,4.1255933562558057e-16,True,1e-06,PASS
Model-guided constrained SAC,test_002_f01217ab0e79,301721597.0,106159.28124803984,8363.562391452671,88765.09698077985,3521.2163096701443,3224.6509719026462,1319.9649854216425,964.7896088128856,0.0,106159.28124803984,0.0,0.0,True,1e-06,PASS
Model-guided constrained SAC,test_002_f01217ab0e79,554911178.0,108935.91996424798,8325.543468621783,91541.48242990243,3623.233885661536,3197.8712390393544,1313.1727974939115,934.61614352893,0.0,108935.91996424794,4.3655745685100555e-11,4.0074702356603837e-16,True,1e-06,PASS
Model-guided constrained SAC,test_002_f01217ab0e79,1600960620.0,107625.1542339663,8316.154595797965,90323.09238714684,3578.020722954381,3192.783356810996,1310.5125622958972,904.590608960204,0.0,107625.1542339663,0.0,0.0,True,1e-06,PASS
Passive,test_003_eb3106001035,,289150.15673126426,6693.78862711782,267613.56028344715,11442.30011764335,2592.507185683569,808.00051737225,0.0,0.0,289150.1567312642,5.820766091346741e-11,2.013059981411856e-16,True,1e-06,PASS
Reactive,test_003_eb3106001035,,100653.27184769209,7954.132078103889,84579.37275638546,3398.903853980461,2829.225709082904,1315.5170566920349,576.1203934473706,0.0,100653.27184769213,4.3655745685100555e-11,4.337240596724979e-16,True,1e-06,PASS
Projected stochastic MPC,test_003_eb3106001035,,109796.8018217128,9376.315807455208,91347.8854010238,3693.262047368866,3972.069271527152,1407.2692943378152,0.0,0.0,109796.80182171286,5.820766091346741e-11,5.301398578802374e-16,True,1e-06,PASS
Behaviour cloning,test_003_eb3106001035,1409200687.0,114692.1666858112,8590.948318792376,96317.5106136118,3853.127083340624,3390.2994402006025,1334.2097363036178,1206.0714935621604,0.0,114692.16668581119,1.4551915228366852e-11,1.2687802182890576e-16,True,1e-06,PASS
Behaviour cloning,test_003_eb3106001035,3018804584.0,117654.59564690093,8576.763016967487,99228.1591807711,3961.934783100279,3383.782291029934,1330.4418210333238,1173.5145539987902,0.0,117654.5956469009,2.9103830456733704e-11,2.473667118289086e-16,True,1e-06,PASS
Behaviour cloning,test_003_eb3106001035,959653586.0,116505.62883508798,8560.82517552347,98178.18304103312,3922.4841589084335,3376.0856037109747,1327.0757453303763,1140.975110581571,0.0,116505.62883508795,2.9103830456733704e-11,2.4980621749984075e-16,True,1e-06,PASS
PPO,test_003_eb3106001035,1694234878.0,196065.22379981764,7552.453407403404,176353.85586083683,7124.275191517681,2878.7326421695293,1066.5226787757726,1089.3840191144136,0.0,196065.22379981764,0.0,0.0,True,1e-06,PASS
PPO,test_003_eb3106001035,1635820214.0,152749.22927418744,8136.820478762526,133776.08686458386,5352.087348461469,3168.62237849661,1208.8452670030613,1106.7669368799766,0.0,152749.2292741875,5.820766091346741e-11,3.8106680596720833e-16,True,1e-06,PASS
PPO,test_003_eb3106001035,456241246.0,179395.63732728784,7866.450507362819,159975.66200991845,6436.523196550908,3045.361600674339,1132.2987983683554,939.3412144129474,0.0,179395.63732728778,5.820766091346741e-11,3.244653090825941e-16,True,1e-06,PASS
Vanilla SAC,test_003_eb3106001035,3760190062.0,289095.0420785358,6694.38131681605,267556.7708339578,11439.462032971727,2592.738970402853,808.0084861782176,3.680438209029232,0.0,289095.0420785357,5.820766091346741e-11,2.013443762126321e-16,True,1e-06,PASS
Vanilla SAC,test_003_eb3106001035,3890281123.0,289114.4686646293,6694.243323191757,267576.36783532146,11440.43300228518,2592.657139616143,808.0115256550771,2.755838559752735,0.0,289114.4686646294,5.820766091346741e-11,2.0133084719806211e-16,True,1e-06,PASS
Vanilla SAC,test_003_eb3106001035,4226533458.0,289094.14576479106,6694.119211546943,267555.2987191176,11439.42383705779,2592.611761345008,807.9944620443143,4.697773679413833,0.0,289094.14576479106,0.0,0.0,True,1e-06,PASS
Constrained SAC,test_003_eb3106001035,301721597.0,289127.0404479788,6695.134535613249,267585.6619416146,11440.804907246622,2593.155873169152,808.0664180432451,4.216772292034859,0.0,289127.0404479788,0.0,0.0,True,1e-06,PASS
Constrained SAC,test_003_eb3106001035,554911178.0,289115.59369614394,6694.523014412086,267576.073050754,11440.379355923136,2592.8044663003943,808.0315512745902,3.7822574796522255,0.0,289115.59369614394,0.0,0.0,True,1e-06,PASS
Constrained SAC,test_003_eb3106001035,1600960620.0,289128.8081721395,6694.720990098736,267589.4253290764,11441.001489133256,2592.860448012704,808.052311545385,2.7476042729827523,0.0,289128.8081721395,0.0,0.0,True,1e-06,PASS
Model-guided constrained SAC,test_003_eb3106001035,301721597.0,115329.20082943422,8630.344582094023,97079.99066260994,3879.851608714632,3424.911105988488,1348.201301415059,965.9015686120728,0.0,115329.20082943421,1.4551915228366852e-11,1.2617719644037388e-16,True,1e-06,PASS
Model-guided constrained SAC,test_003_eb3106001035,554911178.0,118182.90981951728,8590.645035409798,99932.42842510605,3985.213391917376,3397.931196874587,1341.543403957921,935.1483662515828,0.0,118182.90981951733,4.3655745685100555e-11,3.693913591378763e-16,True,1e-06,PASS
Model-guided constrained SAC,test_003_eb3106001035,1600960620.0,116989.92945726466,8582.04978000001,98825.25073295676,3944.0020577960818,3394.891640089404,1338.6510742669684,905.0841721555228,0.0,116989.92945726475,8.731149137020111e-11,7.463163006871903e-16,True,1e-06,PASS
Passive,test_004_55a330aff5c4,,284123.3877912197,6562.967016469673,263063.2063790293,11247.74141592305,2466.087119853753,783.3858599438904,0.0,0.0,284123.3877912197,0.0,0.0,True,1e-06,PASS
Reactive,test_004_55a330aff5c4,,93489.47184522434,7859.352644421801,77849.20884826282,3107.8706334326816,2765.7922565169456,1292.140988151088,615.1064744390285,0.0,93489.47184522437,2.9103830456733704e-11,3.1130596721004363e-16,True,1e-06,PASS
Projected stochastic MPC,test_004_55a330aff5c4,,103010.6367360751,9286.863218302831,84996.20727997759,3417.707578324566,3924.985585331451,1384.8730741386598,0.0,0.0,103010.6367360751,0.0,0.0,True,1e-06,PASS
Behaviour cloning,test_004_55a330aff5c4,1409200687.0,107151.8222209574,8498.220603718957,89311.15961292051,3549.3084312502347,3274.8648492695424,1314.328978756212,1203.9397450419744,0.0,107151.82222095743,2.9103830456733704e-11,2.7161302396443427e-16,True,1e-06,PASS
Behaviour cloning,test_004_55a330aff5c4,3018804584.0,110055.86850752,8481.83662317243,92169.85726444614,3655.123154089983,3267.4662673487487,1310.2425672893987,1171.3426311732924,0.0,110055.86850752,0.0,0.0,True,1e-06,PASS
Behaviour cloning,test_004_55a330aff5c4,959653586.0,108848.35321029367,8470.307463525514,91059.16541348417,3613.335522389146,3258.948277638188,1307.202295752521,1139.394237504165,0.0,108848.3532102937,2.9103830456733704e-11,2.673796120783331e-16,True,1e-06,PASS
PPO,test_004_55a330aff5c4,1694234878.0,188885.0314652494,7459.867379522429,169704.44326981902,6828.626386325826,2761.623091253524,1045.6883547247646,1084.782983603884,0.0,188885.03146524943,2.9103830456733704e-11,1.5408224903246584e-16,True,1e-06,PASS
PPO,test_004_55a330aff5c4,1635820214.0,145319.72491977143,8045.585529647834,126884.25656823243,5047.641275431896,3051.1806365945085,1188.49123325316,1102.56967661163,0.0,145319.72491977146,2.9103830456733704e-11,2.0027446702642356e-16,True,1e-06,PASS
PPO,test_004_55a330aff5c4,456241246.0,171912.79994099616,7778.252684628227,153031.6163485542,6129.982276425572,2931.940789095196,1112.617337342897,928.390504950099,0.0,171912.79994099622,5.820766091346741e-11,3.385882897227281e-16,True,1e-06,PASS
Vanilla SAC,test_004_55a330aff5c4,3760190062.0,284072.35187547654,6563.765471935427,263010.45124598686,11245.168404413966,2466.4219274490742,783.4247372982323,3.120088392867185,0.0,284072.3518754764,1.1641532182693481e-10,4.09808702108277e-16,True,1e-06,PASS
Vanilla SAC,test_004_55a330aff5c4,3890281123.0,284090.008981271,6563.525871412326,263028.37532563816,11246.03965683187,2466.3073023534625,783.4154009328422,2.345424102313997,0.0,284090.00898127095,5.820766091346741e-11,2.0489161559111647e-16,True,1e-06,PASS
Vanilla SAC,test_004_55a330aff5c4,4226533458.0,284070.7941312352,6563.445512982589,263008.5639526084,11245.105792465774,2466.2185972971024,783.4090939565402,4.0511819248503285,0.0,284070.7941312353,5.820766091346741e-11,2.049054746774728e-16,True,1e-06,PASS
Constrained SAC,test_004_55a330aff5c4,301721597.0,284102.9487403982,6564.450855920273,263038.028353394,11246.43511357176,2466.9042942115707,783.4710696939535,3.659053606674996,0.0,284102.9487403983,5.820766091346741e-11,2.0488228359310417e-16,True,1e-06,PASS
Constrained SAC,test_004_55a330aff5c4,554911178.0,284092.1580433062,6563.817378707855,263029.1555089184,11246.041486127184,2466.4466036978038,783.4389940922597,3.258071762822681,0.0,284092.1580433063,1.1641532182693481e-10,4.097801313093225e-16,True,1e-06,PASS
Constrained SAC,test_004_55a330aff5c4,1600960620.0,284104.2117741157,6564.005338006719,263041.2262918147,11246.600103688384,2466.5916280011047,783.4525260500078,2.335886554748825,0.0,284104.2117741156,5.820766091346741e-11,2.0488137275397696e-16,True,1e-06,PASS
Model-guided constrained SAC,test_004_55a330aff5c4,301721597.0,107794.47481709154,8520.397969763075,90124.04010579092,3575.770193979131,3281.991052664116,1328.37255728073,963.902937613579,0.0,107794.47481709154,0.0,0.0,True,1e-06,PASS
Model-guided constrained SAC,test_004_55a330aff5c4,554911178.0,110591.00838450296,8481.23229104171,92921.72124222683,3678.007531987742,3254.9170389273377,1321.407416469937,933.7228638493802,0.0,110591.00838450294,1.4551915228366852e-11,1.3158316793507058e-16,True,1e-06,PASS
Model-guided constrained SAC,test_004_55a330aff5c4,1600960620.0,109323.72047316856,8471.881527137353,91746.55162369752,3634.318664885056,3248.3878085704773,1318.529861186679,904.0509876914856,0.0,109323.72047316856,0.0,0.0,True,1e-06,PASS
Passive,test_005_981c73a17708,,278430.32902240584,6439.103457801338,257804.92147651964,11022.913866735316,2389.6796274981134,773.7105938514375,0.0,0.0,278430.32902240584,0.0,0.0,True,1e-06,PASS
Reactive,test_005_981c73a17708,,99640.17525023046,7743.924258287892,84014.18775300335,3381.205826214773,2658.65813257281,1256.7571647950444,585.4421153566635,0.0,99640.17525023053,7.275957614183426e-11,7.302232855282536e-16,True,1e-06,PASS
Projected stochastic MPC,test_005_981c73a17708,,107560.79251718053,9101.919428770916,89726.90747640538,3632.348320914012,3757.7158930492906,1341.9013980409482,0.0,0.0,107560.79251718054,1.4551915228366852e-11,1.3529014511530767e-16,True,1e-06,PASS
Behaviour cloning,test_005_981c73a17708,1409200687.0,112977.57126041345,8319.912310569098,95232.88272762536,3812.96316528016,3138.060487352663,1266.4958040750737,1207.2567655110845,0.0,112977.57126041345,0.0,0.0,True,1e-06,PASS
Behaviour cloning,test_005_981c73a17708,3018804584.0,116220.03642283012,8300.654398648043,98422.89299285373,3932.803089388018,3129.0839405156253,1261.5647981425066,1173.0372032822213,0.0,116220.03642283015,2.9103830456733704e-11,2.504200768863e-16,True,1e-06,PASS
Behaviour cloning,test_005_981c73a17708,959653586.0,114881.27267612038,8288.663416169848,97184.79018512087,3886.22377726458,3121.5889054941927,1258.9583549861024,1141.0480370847667,0.0,114881.27267612035,2.9103830456733704e-11,2.533383359948042e-16,True,1e-06,PASS
PPO,test_005_981c73a17708,1694234878.0,191458.40868722505,7290.193422476793,172474.83877498176,6953.794097385176,2641.670837850742,1009.1695035061424,1088.7420510244735,0.0,191458.4086872251,5.820766091346741e-11,3.04022483590982e-16,True,1e-06,PASS
PPO,test_005_981c73a17708,1635820214.0,149518.76181419782,7884.416787302355,131204.09899943336,5242.845596779297,2935.1957724793883,1147.1115068530933,1105.0931513503006,0.0,149518.7618141978,2.9103830456733704e-11,1.9465002320511525e-16,True,1e-06,PASS
PPO,test_005_981c73a17708,456241246.0,175717.0961108556,7610.036638208636,156984.30028354152,6307.115615494455,2805.871314084506,1073.4316599311842,936.340599595258,0.0,175717.09611085555,5.820766091346741e-11,3.312578127101851e-16,True,1e-06,PASS
Vanilla SAC,test_005_981c73a17708,3760190062.0,278382.0914478489,6439.956432169143,257754.8152058172,11020.41421063211,2389.8982783516017,773.7496694407506,3.257651438021492,0.0,278382.09144784877,1.1641532182693481e-10,4.181853840578091e-16,True,1e-06,PASS
Vanilla SAC,test_005_981c73a17708,3890281123.0,278399.57869647205,6439.726442247344,257772.55808116775,11021.289264977677,2389.8161132565483,773.7428644303917,2.44593039232882,0.0,278399.57869647205,0.0,0.0,True,1e-06,PASS
Vanilla SAC,test_005_981c73a17708,4226533458.0,278382.0243439843,6439.657604446983,257754.3170151757,11020.4122900641,2389.702278150819,773.739403146578,4.195753000214396,0.0,278382.0243439844,5.820766091346741e-11,2.09092742430606e-16,True,1e-06,PASS
Constrained SAC,test_005_981c73a17708,301721597.0,278410.5226713056,6440.472672576105,257780.80276949707,11021.628117203898,2390.0732351317665,773.7904531116911,3.75542378496016,0.0,278410.52267130546,1.1641532182693481e-10,4.181426790551878e-16,True,1e-06,PASS
Constrained SAC,test_005_981c73a17708,554911178.0,278401.789264134,6439.977684273085,257773.5333722236,11021.29581332195,2389.842454409977,773.7658873257799,3.374052579540363,0.0,278401.78926413396,5.820766091346741e-11,2.090778980527414e-16,True,1e-06,PASS
Constrained SAC,test_005_981c73a17708,1600960620.0,278412.7318340312,6440.102031308337,257784.68950708065,11021.821813501065,2389.910634653922,773.7762555389935,2.4315919482042654,0.0,278412.7318340312,0.0,0.0,True,1e-06,PASS
Model-guided constrained SAC,test_005_981c73a17708,301721597.0,113674.49301094213,8345.305591583345,96070.48042591916,3840.9342504867177,3171.6674157882376,1279.3588753696863,966.7464517949916,0.0,113674.49301094213,0.0,0.0,True,1e-06,PASS
Model-guided constrained SAC,test_005_981c73a17708,554911178.0,116791.260487532,8303.777897844931,99179.03098139154,3956.232533682137,3145.631284986254,1271.4495170854295,935.1382725417384,0.0,116791.26048753204,4.3655745685100555e-11,3.73792914836817e-16,True,1e-06,PASS
Model-guided constrained SAC,test_005_981c73a17708,1600960620.0,115404.94500455524,8294.970843916715,97885.15700139522,3908.2785696196993,3141.892557599354,1268.8947494878375,905.7512825364136,0.0,115404.94500455522,1.4551915228366852e-11,1.260943820716908e-16,True,1e-06,PASS
Passive,test_006_daba4b1e9814,,285767.8203256752,6575.911068747774,264653.0932839343,11315.71992661845,2429.7000303383693,793.3960160362561,0.0,0.0,285767.82032567513,5.820766091346741e-11,2.0368864782301614e-16,True,1e-06,PASS
Reactive,test_006_daba4b1e9814,,98611.30599901706,7856.006612930428,82763.41898285529,3316.9460554917355,2770.7040045916538,1284.5291017417642,619.7012414062038,0.0,98611.30599901707,1.4551915228366852e-11,1.4756842616516916e-16,True,1e-06,PASS
