date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-23,2019,1,23,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187686
2019-01-23,2019,1,23,port744,Jebel Ali,United Arab Emirates,ARE,9,0,2,0,3,11,14,497813,0,2257,0,64244,500070,564315,240261,0,2279,0,0,242541,242541,192174
2019-01-23,2019,1,23,port988,Port of Sohar,Oman,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213483
2019-01-24,2019,1,24,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,4,2,6,0,1383,0,0,7749,1383,9132,0,0,0,0,44317,0,44317,177992
2019-01-24,2019,1,24,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187688
2019-01-24,2019,1,24,port744,Jebel Ali,United Arab Emirates,ARE,8,3,2,0,2,13,15,160103,27902,1551,0,186,189557,189743,300057,11357,1139,0,0,312554,312554,192175
2019-01-24,2019,1,24,port988,Port of Sohar,Oman,OMN,3,1,1,0,0,5,5,3594,388236,1407,0,0,393238,393238,4267,0,0,0,0,4267,4267,3213486
2019-01-25,2019,1,25,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,9,0,9,0,0,0,0,43439,0,43439,0,0,0,0,56204,0,56204,177993
2019-01-25,2019,1,25,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187690
2019-01-25,2019,1,25,port744,Jebel Ali,United Arab Emirates,ARE,19,2,1,0,3,22,25,872235,21692,17519,0,15392,911447,926840,327837,2121,0,0,0,329959,329959,192176
2019-01-25,2019,1,25,port988,Port of Sohar,Oman,OMN,0,4,0,0,4,4,8,0,11587,0,0,1629,11587,13216,0,112655,0,0,21424,112655,134079,3213489
2019-01-26,2019,1,26,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,8,0,8,0,0,0,0,60507,0,60507,0,0,0,0,115128,0,115128,177994
2019-01-26,2019,1,26,port561,Khor Fakkan,United Arab Emirates,ARE,1,0,0,0,0,1,1,7201,0,0,0,0,7201,7201,3134,0,0,0,0,3134,3134,187692
2019-01-26,2019,1,26,port744,Jebel Ali,United Arab Emirates,ARE,10,0,0,0,1,10,11,249047,0,0,0,1586,249047,250633,221261,0,0,0,0,221261,221261,192177
2019-01-26,2019,1,26,port988,Port of Sohar,Oman,OMN,0,1,0,0,2,1,3,0,10615,0,0,8632,10615,19248,0,37437,0,0,947,37437,38385,3213492
2019-01-27,2019,1,27,port362,Fujairah,United Arab Emirates,ARE,0,1,1,0,9,2,11,0,5203,1120,0,46495,6323,52818,0,43113,1520,0,122952,44633,167586,177995
2019-01-27,2019,1,27,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187694
2019-01-27,2019,1,27,port744,Jebel Ali,United Arab Emirates,ARE,2,2,0,1,0,5,5,0,25004,0,0,0,25004,25004,121917,5949,0,0,0,127866,127866,192178
2019-01-27,2019,1,27,port988,Port of Sohar,Oman,OMN,1,1,1,1,2,4,6,0,0,2404,1180,8213,3585,11798,4076,86130,3114,76,33180,93397,126577,3213495
2019-01-28,2019,1,28,port362,Fujairah,United Arab Emirates,ARE,0,2,1,0,10,3,13,0,0,0,0,108707,0,108707,0,62226,1162,0,93848,63388,157236,177996
2019-01-28,2019,1,28,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187695
2019-01-28,2019,1,28,port744,Jebel Ali,United Arab Emirates,ARE,8,0,1,1,1,10,11,221124,0,1128,1640,0,223893,223893,493732,0,1139,98,215,494970,495185,192179
2019-01-28,2019,1,28,port988,Port of Sohar,Oman,OMN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7304,0,7304,3213498
2019-01-29,2019,1,29,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,4,2,6,0,0,0,0,20169,0,20169,0,107922,0,0,11405,107922,119327,177997
2019-01-29,2019,1,29,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187697
2019-01-29,2019,1,29,port744,Jebel Ali,United Arab Emirates,ARE,3,1,0,0,1,4,5,49626,57910,0,0,52291,107536,159827,76731,0,0,0,0,76731,76731,192180
2019-01-29,2019,1,29,port988,Port of Sohar,Oman,OMN,2,1,0,1,2,4,6,18079,0,0,0,26696,18079,44776,1797,36920,0,580,0,39298,39298,3213501
2019-01-30,2019,1,30,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,9,0,9,0,0,0,0,117370,0,117370,0,0,0,0,46466,0,46466,177998
2019-01-30,2019,1,30,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187699
2019-01-30,2019,1,30,port744,Jebel Ali,United Arab Emirates,ARE,10,2,1,1,2,14,16,757401,21692,2526,1640,79079,783260,862340,106300,2121,0,98,0,108520,108520,192181
2019-01-30,2019,1,30,port988,Port of Sohar,Oman,OMN,1,1,0,0,1,2,3,3149,0,0,0,0,3149,3149,1797,0,0,0,0,1797,1797,3213504
2019-01-31,2019,1,31,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,74320,0,0,5995,74320,80315,177999
2019-01-31,2019,1,31,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187701
2019-01-31,2019,1,31,port744,Jebel Ali,United Arab Emirates,ARE,9,0,2,0,1,11,12,391679,0,1411,0,970,393091,394062,292185,0,1139,0,0,293325,293325,192182
2019-01-31,2019,1,31,port988,Port of Sohar,Oman,OMN,2,1,0,0,2,3,5,954,32855,0,0,0,33810,33810,543,0,0,0,13089,543,13632,3213506
2019-02-01,2019,2,1,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,8,2,10,0,0,0,0,144971,0,144971,0,154045,0,0,82597,154045,236642,178000
2019-02-01,2019,2,1,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187703
2019-02-01,2019,2,1,port744,Jebel Ali,United Arab Emirates,ARE,8,1,1,0,0,10,10,252862,8099,1128,0,0,262091,262091,240340,0,1139,0,0,241480,241480,192183
2019-02-01,2019,2,1,port988,Port of Sohar,Oman,OMN,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,6438,0,6438,3213508
2019-02-02,2019,2,2,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,5,1,6,0,43995,0,0,15498,43995,59493,0,0,0,0,112881,0,112881,176046
2019-02-02,2019,2,2,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187705
2019-02-02,2019,2,2,port744,Jebel Ali,United Arab Emirates,ARE,8,0,1,0,1,9,10,307090,0,0,0,0,307090,307090,343335,0,1274,0,60221,344609,404830,192184
2019-02-02,2019,2,2,port988,Port of Sohar,Oman,OMN,1,1,0,0,0,2,2,3149,53299,0,0,0,56449,56449,1797,0,0,0,0,1797,1797,3213511
2019-02-03,2019,2,3,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,5,0,5,0,0,0,0,39545,0,39545,0,0,0,0,37381,0,37381,176406
2019-02-03,2019,2,3,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187707
2019-02-03,2019,2,3,port744,Jebel Ali,United Arab Emirates,ARE,6,1,1,0,0,8,8,105504,10524,0,0,0,116028,116028,129268,0,0,0,0,129268,129268,192185
2019-02-03,2019,2,3,port988,Port of Sohar,Oman,OMN,1,0,0,1,0,2,2,0,0,0,531,0,531,531,10840,0,0,59,0,10899,10899,3213514
2019-02-04,2019,2,4,port362,Fujairah,United Arab Emirates,ARE,0,1,1,0,9,2,11,0,0,235,0,46564,235,46800,0,54878,0,0,81219,54878,136098,176407
2019-02-04,2019,2,4,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187709
2019-02-04,2019,2,4,port744,Jebel Ali,United Arab Emirates,ARE,6,0,2,1,0,9,9,417205,0,2257,653,0,420115,420115,73450,0,2279,177,0,75907,75907,192186
2019-02-04,2019,2,4,port988,Port of Sohar,Oman,OMN,0,2,0,1,0,3,3,0,18753,0,1180,0,19934,19934,0,0,0,76,0,76,76,3213517
2019-02-05,2019,2,5,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,5,0,5,0,0,0,0,30996,0,30996,0,0,0,0,37229,0,37229,176410
2019-02-05,2019,2,5,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187711
2019-02-05,2019,2,5,port744,Jebel Ali,United Arab Emirates,ARE,4,0,0,1,1,5,6,122022,0,0,0,0,122022,122022,97526,0,0,0,58,97526,97585,192187
2019-02-05,2019,2,5,port988,Port of Sohar,Oman,OMN,1,1,0,0,0,2,2,3149,10615,0,0,0,13765,13765,1797,37437,0,0,0,39235,39235,3213520
2019-02-06,2019,2,6,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,9,2,11,0,0,0,0,65386,0,65386,0,129007,0,0,81103,129007,210111,176413
2019-02-06,2019,2,6,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5171,0,5171,187713
2019-02-06,2019,2,6,port744,Jebel Ali,United Arab Emirates,ARE,9,0,0,1,3,10,13,218618,0,0,1640,37781,220258,258040,361774,0,0,98,60646,361872,422519,192188
2019-02-06,2019,2,6,port988,Port of Sohar,Oman,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213523
2019-02-07,2019,2,7,port362,Fujairah,United Arab Emirates,ARE,0,3,0,0,11,3,14,0,10406,0,0,240763,10406,251170,0,86810,0,0,224297,86810,311107,176416
2019-02-07,2019,2,7,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187715
2019-02-07,2019,2,7,port744,Jebel Ali,United Arab Emirates,ARE,4,0,0,0,1,4,5,95623,0,0,0,7517,95623,103141,133149,0,0,0,0,133149,133149,192189
2019-02-07,2019,2,7,port988,Port of Sohar,Oman,OMN,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,63275,0,0,23671,63275,86947,3213526
2019-02-08,2019,2,8,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,9,2,11,0,0,0,0,92353,0,92353,0,126032,0,0,55794,126032,181827,176419
2019-02-08,2019,2,8,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187717
2019-02-08,2019,2,8,port744,Jebel Ali,United Arab Emirates,ARE,7,0,2,2,2,11,13,196397,0,1364,5346,0,203107,203107,137941,0,1139,98,70773,139179,209953,192190
