chi,policy,metric,mean_value,metric_label
0.375,Projected stochastic MPC,mean_adaptive_delivery,859.2404229296794,Adaptive delivery
0.375,Reactive,mean_adaptive_delivery,878.5985519692854,Adaptive delivery
0.5,Behaviour cloning,mean_adaptive_delivery,664.3861333631377,Adaptive delivery
0.5,Model-guided constrained SAC,mean_adaptive_delivery,663.4387487664218,Adaptive delivery
0.5,Passive,mean_adaptive_delivery,310.4601696545638,Adaptive delivery
0.5,Projected stochastic MPC,mean_adaptive_delivery,675.5124322286837,Adaptive delivery
0.5,Reactive,mean_adaptive_delivery,689.6912759093251,Adaptive delivery
0.625,Behaviour cloning,mean_adaptive_delivery,494.4518257645481,Adaptive delivery
0.625,Model-guided constrained SAC,mean_adaptive_delivery,493.5798484729516,Adaptive delivery
0.625,Passive,mean_adaptive_delivery,160.72983469334616,Adaptive delivery
0.625,Projected stochastic MPC,mean_adaptive_delivery,496.9448839817597,Adaptive delivery
0.625,Reactive,mean_adaptive_delivery,505.5303836198716,Adaptive delivery
0.75,Behaviour cloning,mean_adaptive_delivery,325.1021017244233,Adaptive delivery
0.75,Model-guided constrained SAC,mean_adaptive_delivery,324.5994397638528,Adaptive delivery
0.75,Passive,mean_adaptive_delivery,57.5547515933247,Adaptive delivery
0.75,Projected stochastic MPC,mean_adaptive_delivery,325.5506648330103,Adaptive delivery
0.75,Reactive,mean_adaptive_delivery,327.1301295548683,Adaptive delivery
0.875,Behaviour cloning,mean_adaptive_delivery,160.26583645194935,Adaptive delivery
0.875,Model-guided constrained SAC,mean_adaptive_delivery,160.14334114379636,Adaptive delivery
0.875,Passive,mean_adaptive_delivery,17.47335340676605,Adaptive delivery
0.875,Projected stochastic MPC,mean_adaptive_delivery,160.53727903063563,Adaptive delivery
0.875,Reactive,mean_adaptive_delivery,156.292288521548,Adaptive delivery
1.0,Behaviour cloning,mean_adaptive_delivery,0.0,Adaptive delivery
1.0,Model-guided constrained SAC,mean_adaptive_delivery,0.0,Adaptive delivery
1.0,Passive,mean_adaptive_delivery,0.0,Adaptive delivery
1.0,Projected stochastic MPC,mean_adaptive_delivery,0.0,Adaptive delivery
1.0,Reactive,mean_adaptive_delivery,0.0,Adaptive delivery
