chi,policy,seed_index,training_seed,checkpoint_path,checkpoint_sha256,selected_episode,best_validation_operational_loss,stopped_reason,final_constraint_dual,selected_entropy_temperature,selected_mean_log_standard_deviation,teacher_action_hash,generated_for_5_3_1,loaded_from_5_2_checkpoint
0.125,Constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p125/constrained_sac_seed_0.npz,0344db49647031ac86d95a9fce6c6cf010b3524cee0db00e94b26475d60f7626,3,171729.25242215028,validation_patience,51.123167817664985,0.0167641497738956,-1.488990565578968,not_applicable,True,False
0.125,Model-guided constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p125/model_guided_constrained_sac_seed_0.json,19e56e22ee19ecc794b3a249a19b81d94dc81429fc56db31b67cc3cf71cd128d,3,61658.46497241288,selector_has_no_additional_training,51.123167817664985,0.0167641497738956,-1.488990565578968,468ebd207f974cd7b4585471b186addac18e7dc2dc990bbe59d6aedba144e928,True,False
0.125,Behaviour cloning,1,60714114,experiments/5.3-1/checkpoints/chi_0p125/behaviour_cloning_seed_1.npz,2183738a8263accf8fa81b46d47191fd0be72256eeef7813d43a8be780edbf5e,12,65195.92603677889,maximum_computational_cap,0.0,,-1.5,468ebd207f974cd7b4585471b186addac18e7dc2dc990bbe59d6aedba144e928,True,False
0.125,Constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p125/constrained_sac_seed_1.npz,525124a9c2878578ae397716e58485f6bad6cbc2369104dca153b8b32d77cfc9,3,171703.14652773913,validation_patience,51.06002743228735,0.016876248105661,-1.491120287662926,not_applicable,True,False
0.125,Model-guided constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p125/model_guided_constrained_sac_seed_1.json,b781580aaf49d0a5656bee89e6879fcca50e14c2a569364f461b15ecea37b55b,3,65082.51257390805,selector_has_no_additional_training,51.06002743228735,0.016876248105661,-1.491120287662926,468ebd207f974cd7b4585471b186addac18e7dc2dc990bbe59d6aedba144e928,True,False
0.125,Behaviour cloning,2,1484239003,experiments/5.3-1/checkpoints/chi_0p125/behaviour_cloning_seed_2.npz,8fbe50c4e6205aaa06457e1bef8aa434ccf75bce6e74009ae50d81c85c1643d6,12,58286.27506493616,maximum_computational_cap,0.0,,-1.5,468ebd207f974cd7b4585471b186addac18e7dc2dc990bbe59d6aedba144e928,True,False
0.125,Constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p125/constrained_sac_seed_2.npz,c73b63976293f531413e7395b4406ef99354e1d5769551234b6c49badfa01bc6,3,171650.7200760513,validation_patience,51.127255654292746,0.0165221714213203,-1.476496818120622,not_applicable,True,False
0.125,Model-guided constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p125/model_guided_constrained_sac_seed_2.json,8cdd8d0ab6afeb4dac7f15fd14c8f32054d919e7dd8f6572a58bf09326933770,3,58100.948464418034,selector_has_no_additional_training,51.127255654292746,0.0165221714213203,-1.476496818120622,468ebd207f974cd7b4585471b186addac18e7dc2dc990bbe59d6aedba144e928,True,False
0.25,Behaviour cloning,0,4237354934,experiments/5.3-1/checkpoints/chi_0p250/behaviour_cloning_seed_0.npz,d908569c2298f2fae0551ea328670cfc9390227713a846e533231638ba0a8905,12,52134.36270946439,maximum_computational_cap,0.0,,-1.5,10e68a1efced335268102847b4b67c6ccd8236ff2e41fea17a163a656070e0e3,True,False
0.25,Constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p250/constrained_sac_seed_0.npz,f64d60719b5bd19b93ee64511adbe4aaa428a59abb62c94d6c2a0147bb0d6575,3,158320.39134790612,validation_patience,108.5538598394238,0.0167613352500779,-1.48864358020908,not_applicable,True,False
0.25,Model-guided constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p250/model_guided_constrained_sac_seed_0.json,65e22414adaf793626164c54362668862cbc46c381e312035b309dcea31d90e2,3,51990.36550744047,selector_has_no_additional_training,108.5538598394238,0.0167613352500779,-1.48864358020908,10e68a1efced335268102847b4b67c6ccd8236ff2e41fea17a163a656070e0e3,True,False
0.25,Behaviour cloning,1,60714114,experiments/5.3-1/checkpoints/chi_0p250/behaviour_cloning_seed_1.npz,855bbe965255310495e964be8898b925acf41b8d8f9fd01060b2267760d28a4d,12,55137.43237722153,maximum_computational_cap,0.0,,-1.5,10e68a1efced335268102847b4b67c6ccd8236ff2e41fea17a163a656070e0e3,True,False
0.25,Constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p250/constrained_sac_seed_1.npz,98f702138f575d3810f4262587533ac76646b088e642e38cfe5d6bb26f1853ab,3,158298.33321213766,validation_patience,108.5681526764342,0.0168799054285405,-1.4912674506160388,not_applicable,True,False
0.25,Model-guided constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p250/model_guided_constrained_sac_seed_1.json,df411e23497d3dc68f47db9e01d25ef4e980fa0f124a01b7ad1c077f5f9d355e,3,55123.48690916994,selector_has_no_additional_training,108.5681526764342,0.0168799054285405,-1.4912674506160388,10e68a1efced335268102847b4b67c6ccd8236ff2e41fea17a163a656070e0e3,True,False
0.25,Behaviour cloning,2,1484239003,experiments/5.3-1/checkpoints/chi_0p250/behaviour_cloning_seed_2.npz,b24e52b20125393ac2945b25592519bfd9eec44adb2b24c743d98c843a22b90b,12,49545.00344511527,maximum_computational_cap,0.0,,-1.5,10e68a1efced335268102847b4b67c6ccd8236ff2e41fea17a163a656070e0e3,True,False
0.25,Constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p250/constrained_sac_seed_2.npz,865fd18bf8c9fc522273769273dea9e9c9b1a2d444665aa25e3addb625ff4d59,3,158244.78479135694,validation_patience,108.59435000083975,0.0165208108484043,-1.4765876602283756,not_applicable,True,False
0.25,Model-guided constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p250/model_guided_constrained_sac_seed_2.json,558d82f321bb038563bcbfdedf20ce7e8ed4342874391bb5e51f2a2b11e3d093,3,49383.25236690567,selector_has_no_additional_training,108.59435000083975,0.0165208108484043,-1.4765876602283756,10e68a1efced335268102847b4b67c6ccd8236ff2e41fea17a163a656070e0e3,True,False
0.375,Behaviour cloning,0,4237354934,experiments/5.3-1/checkpoints/chi_0p375/behaviour_cloning_seed_0.npz,4029838d819f7e13d37258122ec04cf451960de525e0c05635280e9255e786d3,12,42036.76448858719,maximum_computational_cap,0.0,,-1.5,bfd190d6d3860a90ce0f709a0e4e68522587a27df71e1d037d4b7da900e079b1,True,False
0.375,Constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p375/constrained_sac_seed_0.npz,a8dceb2669095e319a99e6cb91cb23d3eb1aba3cafcf7f0f1931bffdeb4a1377,3,142921.68122302723,validation_patience,174.59406207519768,0.0167607110748303,-1.48878238281097,not_applicable,True,False
