chi,policy,mean_total_operational_objective,mean_loss_queue,mean_loss_waiting,mean_loss_exit,mean_loss_overflow,mean_loss_route_resource,mean_loss_action,mean_terminal_correction,mean_direct_sue_exit,mean_duration_attrition,mean_waiting_exposure,mean_committed_delivery,mean_adaptive_delivery,mean_committed_delivery_share,mean_terminal_committed_outstanding,mean_terminal_committed_outstanding_share,mean_ending_outstanding_mass
0.5,Behaviour cloning,115923.55084546474,8541.485876680683,97704.27006127755,3904.061995535779,3339.7403801876762,1311.7667720995219,1122.2257596835211,0.0,0.0004769808748679371,185.90723709225745,7867.594403146269,850.2938480107906,664.3861333631377,1.0,5.5713202219075566e-14,6.537092890323282e-17,5.745206716561164e-07
0.5,Model-guided constrained SAC,116385.41313409916,8565.91154756799,98310.90022217411,3923.957072058981,3361.6219841155803,1322.351812696051,900.6704954864589,0.0,0.0004947253890465073,186.85460394408622,7924.8157514515015,850.2938480107906,663.4387487664218,1.0,5.3300084818339174e-14,6.251763854027155e-17,5.748935455092681e-07
0.5,Passive,286516.5297538498,6681.268792383173,265139.2673117634,11336.507230223051,2558.0915476399964,801.3948718400522,0.0,0.0,6.533591559174184e-05,539.8336122937535,15753.598484605494,850.2938480107906,310.4601696545638,1.0,4.884708483658558e-14,5.750154503469556e-17,7.265577439788286e-07
0.5,Projected stochastic MPC,109237.9110245774,9360.303033600245,90843.24141196345,3670.409719593381,3972.252502091843,1391.704357328497,0.0,0.0,0.0005944221953608921,174.78082079653709,7161.059380700965,850.2938480107906,675.5124322286837,1.0,4.989604058208192e-14,5.846179764818194e-17,5.633746080085513e-07
0.5,Reactive,100056.0096607477,7960.34613563563,83989.71763117239,3372.6540023444004,2834.4273645071053,1299.0039838851974,599.860543202984,0.0,0.0003365876734003534,160.60223495253615,6849.1900150694655,850.2938480107906,689.6912759093251,1.0,4.504567761939847e-14,5.30230378811376e-17,5.612559916964987e-07
0.625,Behaviour cloning,95984.94697321566,10320.482492921408,75297.19704912066,3008.6397508196537,4928.697504127033,1329.5855419636966,1100.3446342632114,0.0,0.0003684335710322841,143.26819112926967,6041.203035680394,1062.8673100134883,494.4518257645481,1.0,6.811181639370966e-14,6.38092593160211e-17,6.807041172989439e-07
0.625,Model-guided constrained SAC,96406.20670461157,10362.086101951734,75856.32532438422,3026.9512739328466,4959.841290640725,1340.54441438069,860.4582993213739,0.0,0.0003819048928543678,144.14015494905223,6094.503315709563,1062.8673100134883,493.5798484729516,1.0,6.939689861623353e-14,6.517298490802552e-17,6.811962736239786e-07
0.625,Passive,257763.89930297603,8515.467788775159,234273.88120827515,10016.801562857181,4096.701896459045,861.0468466095026,0.0,0.0,3.604431990396635e-05,476.9905145679268,13919.690951509132,1062.8673100134883,160.72983469334616,1.0,6.415630501865299e-14,6.032085943142718e-17,7.02500106912161e-07
0.625,Projected stochastic MPC,94429.0956456539,11200.584496263933,73237.93701996462,2956.2855275584766,5656.053976597145,1378.234625269734,0.0,0.0,0.00043031255173898525,140.77507099975665,5724.225856195736,1062.8673100134883,496.9448839817597,1.0,6.973358226874696e-14,6.572842390956991e-17,7.140248254834586e-07
0.625,Reactive,87439.33727159709,9366.649649740317,69240.24775128452,2775.9900352655172,4128.916472648843,1302.1522787900535,625.3810838678463,0.0,0.00026441131354792497,132.1897372679968,5588.253816848474,1062.8673100134883,505.5303836198716,1.0,6.414685110425503e-14,6.032661826606914e-17,7.089110801989532e-07
0.75,Behaviour cloning,76732.87459614867,12605.78469065291,52622.49449428113,2100.941258804011,7009.990060257851,1317.5020319124285,1076.1620602403482,0.0,0.0002403581142105095,100.04458148969583,4195.545516537244,1275.440772016186,325.1021017244233,1.0,9.588586572587666e-14,7.532387405867486e-17,4.3316201139276376e-07
0.75,Model-guided constrained SAC,77026.24772604233,12703.990546145942,52985.962372050526,2111.497159904795,7086.600183949978,1326.7514997499923,811.445964241097,0.0,0.00024832101025840797,100.54723548397997,4235.540481361418,1275.440772016186,324.5994397638528,1.0,1.009914339305355e-13,7.894460720868863e-17,4.3655225998392323e-07
0.75,Passive,207024.5234794221,11342.388474772522,180542.88150789734,7719.435613855024,6483.380087999759,936.4377948974394,0.0,0.0,1.2243202330738572e-05,367.59215984513213,10727.192894027736,1275.440772016186,57.5547515933247,1.0,1.0457533610431524e-13,8.206004745226905e-17,3.237361385854341e-07
0.75,Projected stochastic MPC,76868.98806122558,13630.23673803486,51919.450274972354,2091.5214373859308,7888.276430080195,1339.5031807522475,0.0,0.0,0.00026225950041837843,99.59599666363914,4038.0316670713846,1275.440772016186,325.5506648330103,1.0,1.143255905033442e-13,8.953382534991867e-17,2.4924549391341174e-07
