metric,source_column,chi,policy,reference_policy,physical_paths,mean_paired_difference,standard_error,paired_lower,paired_upper,unadjusted_p_value,simultaneous_lower,simultaneous_upper,holm_adjusted_p_value,multiplicity_family_size,seed_aggregated_within_path_first,inference_unit
total_operational_loss,total_operational_objective,0.25,Passive,Reactive,88,209022.24617877873,950.7046903445004,207132.61766290443,210911.87469465303,3.159749281936349e-121,205881.9467476563,212162.54560990116,9.479247845809048e-120,36,True,physical_path
total_operational_loss,total_operational_objective,0.25,Projected stochastic MPC,Reactive,88,15161.85533874615,303.78194001733243,14558.055838970507,15765.654838521794,8.245185366989527e-66,14158.424659261425,16165.286018230876,5.771629756892669e-65,36,True,physical_path
total_operational_loss,total_operational_objective,0.25,Behaviour cloning,Reactive,88,45794.336541409306,207.86169287789508,45381.188919220076,46207.484163598536,2.6443679578917686e-121,45107.742731022125,46480.93035179649,8.197540669464483e-120,36,True,physical_path
total_operational_loss,total_operational_objective,0.25,Model-guided constrained SAC,Reactive,88,46223.73565946809,204.74045477683495,45816.79183597734,46630.67948295884,3.159541523927084e-122,45547.45169853542,46900.01962040076,1.0110532876566668e-120,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Passive,Reactive,88,198335.66727256254,998.3301493682596,196351.37799991813,200319.95654520695,2.0983271086108002e-117,195038.05484677607,201633.279698349,5.665483193249161e-116,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Projected stochastic MPC,Reactive,88,11387.110020101267,180.2160314422515,11028.911143531532,11745.308896671002,1.7514371715984892e-74,10791.833372405155,11982.386667797378,1.5762934544386404e-73,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Behaviour cloning,Reactive,88,28067.246571964104,111.2003658159629,27846.223803952562,28288.269339975646,1.960583812601059e-126,27699.937512632612,28434.555631295596,6.862043344103706e-125,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Model-guided constrained SAC,Reactive,88,28509.942789626486,114.09550198687005,28283.165624985322,28736.71995426765,4.695590357394549e-126,28133.070724492187,28886.814854760785,1.5965007215141468e-124,36,True,physical_path
total_operational_loss,total_operational_objective,0.5,Passive,Reactive,88,186460.52009310204,1125.746168733998,184222.9776851592,188698.0625010449,1.4967137545727853e-110,182742.03622616897,190179.0039600351,3.2927702600601277e-109,36,True,physical_path
total_operational_loss,total_operational_objective,0.5,Projected stochastic MPC,Reactive,88,9181.901363829696,118.05163262321588,8947.260961172682,9416.541766486711,3.3761553677906065e-82,8791.961692199988,9571.841035459405,4.0513864413487277e-81,36,True,physical_path
