chi,policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction
0.0,Behaviour cloning,1,60714114,12,0.0290690039416188,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Constrained SAC,1,2857687458,1,26153.497858059232,-198647.02176876663,1.8328223037303983,3.847226837833836,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,17261371041.168423,17261371004.01015,4.618231991811733,-4.311021036272785,-1.503151415968011,0.0306577774501255,1.1646110114837858,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.1654269441063444,0.7619047619047619
0.0,Constrained SAC,1,2857687458,2,52786.548205257335,-201831.0315168794,0.037609213637258,3.924106186472076,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,12460073666.168018,12460073698.95522,0.0779218938201971,-3.1038685709695297,-1.495276820414021,0.0218815182930438,0.8029619372325292,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0350376159565952,1.0
0.0,Constrained SAC,1,2857687458,3,110382.98848457322,-336513.6665651026,1.2168086180631288,6.477304284404646,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,27499598960.79045,27499598975.498432,2.462609216436462,-1.8530048023382348,-1.4899868755640515,0.0168668287891033,0.6197463509190577,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0321473877122806,0.5238095238095238
0.0,Constrained SAC,1,2857687458,4,151905.14259627883,-327673.2534616502,1.2942606339650775,9.193151615731312,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,12615503191.88585,12615503139.537613,1.703459230454611,-1.6843173698317282,-1.4846082427435354,0.0137119313725878,0.4930536729873283,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0115148376866314,0.3809523809523809
0.0,Constrained SAC,1,2857687458,5,139594.64270852186,-202262.803046926,0.0365233796973638,9.26775071309578,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,909522826.7783744,909522843.5867217,0.2063230037465115,-2.2814384315743808,-1.4794545218246784,0.0115867866144338,0.4009547453029631,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0234759317266198,1.0
0.0,Constrained SAC,1,2857687458,6,184528.3555084102,-336536.1596128185,1.2164329412510544,11.820159889722996,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,9061277803.942284,9061277836.90506,2.016927102242442,-1.3161593837860548,-1.4754798830378604,0.0099918344434008,0.3526122860199948,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0273888798686759,0.5238095238095238
0.0,Constrained SAC,1,2857687458,7,206117.0500721566,-327690.5559255439,1.294138056226111,14.535749807797831,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4290987044.616685,4290987033.993772,1.4717636780575845,-3.020517158350072,-1.4721752151744127,0.0088392829892349,0.2918153338715461,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.012268994350129,0.3809523809523809
0.0,Constrained SAC,1,2857687458,8,177271.66858879902,-202286.7125553945,0.0364118544503178,14.610114702143502,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,668228435.0136317,668228440.5324888,0.2750233680564869,-0.100665995195841,-1.4691743904565095,0.0078486802884807,0.2830008619066896,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0229566180624211,1.0
0.0,Constrained SAC,1,2857687458,9,215106.8622384621,-336540.08218804264,1.216297469100385,17.162239387254314,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4572057150.959773,4572057177.115511,1.8238321851315524,-1.5339678965398698,-1.466560851741126,0.0070882125920166,0.242648084430432,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0244809688818161,0.5714285714285714
