base_path_id,baseline_loss,regime_loss,regime_action_loss,information_regime,false_warning_cost,interpretation
test_043_f1174106175c,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_044_ed401c94714a,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_045_af7d3f616c1d,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_046_e35b743e6617,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_047_20c1f89391c1,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_048_eeaf6a6a0a15,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_049_343da3774e7e,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_050_1c7612d8bc63,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_051_5747c87e6d9a,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_052_9760565f31de,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_053_4473e6f72168,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_054_c66f0b1dacc4,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_055_f90330578051,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_056_b2c64046cef9,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_057_bf11b8e004e2,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_058_fbcfbffca03e,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_059_d22925a9593f,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_060_b3feb9e274c2,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_061_627abde70c26,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_062_0c9ea14e9507,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_063_44f0f2a191ef,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_064_27d69866b791,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_065_930038cc16e9,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_066_28fb87ba4913,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_067_4d46fa716471,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_068_93da1d4ae1ba,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_069_5b01ea54b2fa,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_070_0cd9bcac96c3,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_071_34f77888383f,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_072_8e59fac0e6c8,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_073_69349232969b,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_074_212affc962e2,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_075_8de4e41c7ad9,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_076_48339f21c8ec,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_077_b1f2e84dc844,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_078_367d379a9297,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_079_bce06ca59758,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_080_e669407a98d7,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_081_fbbd80304765,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_082_2cf496ac3a99,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_083_4cbdde5f376f,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_084_513eb18f351c,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_085_650c50514b66,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_086_754dc8e1ab0e,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_087_cbc79ee243dd,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_000_4ae657b9eeec,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_001_dde9993de777,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_002_f01217ab0e79,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_003_eb3106001035,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_004_55a330aff5c4,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_005_981c73a17708,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_006_daba4b1e9814,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_007_925513ee8ec6,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
