warning_scenario,base_path_id,base_physical_path_sha256,total_blocked,peak_blocked,mean_serviceability,minimum_serviceability,recovery_rate,weeks
GH,test_015_643a837775f9,0bdb5da5c9f39a1f5f16016cd38cb9bd2d3650ade00801bf72abf1b5c1ef2fe9,1886.217509995813,111.91324628702267,0.3378731483932017,0.0,0.019116781372854153,29
GH,test_016_45a90ccef8bd,5d3ce39b508a4ccb3e9dcf8f61989ac456296e3755e7ad04d31e21895bc1ec7a,1766.7048315985269,113.47964082303795,0.3394758672499892,0.0,0.017784536648194436,29
GH,test_017_ebd333a3cdba,a3c85008563f8c8c015d326ebf96d911a84dfa810c1806a6610330bd74827e2b,1713.8726919260546,114.05944321882663,0.33958855027958135,0.0,0.01940411526877208,29
GH,test_018_9466cee538c9,86253eb5a2d091cc16d1f9a3a320e171c30977628d47b9c2faefafd18ea0aa0d,1747.6630418793675,123.27066960160091,0.34182032524212697,0.0,0.01994077248835961,29
GH,test_019_9d2b7462a57a,e3686a781bf5d9cc8a1a95f6cfee4adb410e97762f9815f7f575cd1c7c688f06,1774.266953493203,112.32603689282207,0.34651691801658757,0.0,0.019872266000397716,29
GH,test_020_701c8d28bc45,64a6b03bce01c1a89c724a633f63003ecd11109f06a7e37ec1b0cd196da48626,1756.9633773409655,113.93748905132912,0.3405557349812869,0.0,0.01753873119409312,29
GH,test_021_69299bc5d0bf,6e755751a4e65a356d16122e1fe19db7f245d1323155a143f838c95d128bde6f,1681.9336036891586,100.37905985626855,0.3378948867407737,0.0,0.017491622747465577,29
GH,test_022_1b3e72c80b5f,206d3dd2f49133cdef746f58bc516b176cdbc2a51f7ebbbc523df6455ae5b53c,1707.857604548998,110.54661282973048,0.33599464579739,0.0,0.01866405981316838,29
GH,test_023_90a8af416c5a,6f307309d3320cf90229ccbd42690532f83de1f86a41507c5e6229792230343f,1763.214896271224,115.04834569049939,0.34785278045746065,0.0,0.016723739565365714,29
GH,test_024_e90f261f99e2,a2217a451505b72ecffb15b706f82fa13dd02e5246239352e71c874c3e2b909b,1705.7823285593572,112.78297834425099,0.341054496786773,0.0,0.01864899625744356,29
GH,test_025_0c3eeaae0824,481de4be35a821cd093f24ffad7eca6efe30e96f4cd9848aff621fcb70d542fd,1712.9190176434897,105.88558066943858,0.3336703180023577,0.0,0.01884380365420568,29
GH,test_026_770d47ae1768,0f2bea7027db9d8baf45b68efc718379be3d8148c45feaa470d4d0623fef3f41,1719.8452297923343,105.1778705389786,0.33981167880576624,0.0,0.016748991061057535,29
