controller_id,information_regime,capacity_rights,path_id,period_offset,candidate_id,nested_formal_objective,teacher_hash
IF_RD,IF,RD,training_000_60a9d350b650__IF,10,release_full,26624.251961605376,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,11,release_full,30495.33263602856,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,12,release_full,25875.81693313592,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,13,release_full,22265.70164143985,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,14,release_full,21361.874403871658,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,15,release_full,17259.716424575505,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,16,release_full,16485.517414966114,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,17,release_full,13747.18019656674,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,18,release_full,11532.547844600647,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,19,release_full,9428.298707717226,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,20,release_full,7165.497639768837,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
