controller_id,information_regime,capacity_rights,policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,8,0.0286955939157321,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,9,0.0280384774583543,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,10,0.0273420921451553,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,11,0.0266097427831691,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,12,0.0258482806939438,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Constrained SAC,1,2577411,1,21113.87748461372,-120314.28384410864,20.03505967401392,42.07182531542925,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5475240360.847535,5475240585.193181,434.5021132298883,-3.902039630647207,-1.483683519702718,0.0304946396274626,1.1773144932853927,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.158699957863673,0.5714285714285714
ORACLE_RD,ORACLE,RD,Constrained SAC,1,2577411,2,32700.746453054824,-133501.90565898566,5.3533279844976125,53.31171408287421,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5813850250.580778,5813850323.92381,16.87737892282915,-2.705992079353857,-1.478411715939559,0.0217184502550262,0.8080685161568517,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0889695385335568,1.0
ORACLE_RD,ORACLE,RD,Constrained SAC,1,2577411,3,93239.97859357882,-275036.664993102,13.145833069138469,80.91586352806496,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,18236926072.2828,18236926198.54682,129.36686049706643,-0.7399536277831935,-1.472749939538046,0.0166381444708919,0.6344386248804872,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0908640332666247,1.0
ORACLE_RD,ORACLE,RD,Constrained SAC,1,2577411,4,146627.36393897008,-270485.95454920176,20.222691285223373,123.381415227034,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,6098109829.220525,6098109896.270453,169.20720426489757,-1.2912176346734654,-1.4668085886512403,0.0135298885483662,0.4923731291312642,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0506250753954781,1.0
ORACLE_RD,ORACLE,RD,Constrained SAC,1,2577411,5,101119.0394872463,-134300.48939110275,5.359883766153181,134.63507113595568,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,125120549.64056867,125120549.39463846,4.958967653420854,-0.7252817023605995,-1.4633459418310903,0.0113707580130035,0.4139434081592335,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0919340502581889,1.0
