split,path_id,origin_week,target_week,route,reference_wait_forecast_weeks,realised_next_state_wait_proxy_weeks,forecast_error_weeks,absolute_error_weeks,squared_error_weeks2
validation,validation_000_b61404cedf67,2001-04-30,2001-05-07,Khor_Fakkan,4.638410013408502,4.682927838510048,0.044517825101546116,0.044517825101546116,0.0019818367517718495
validation,validation_000_b61404cedf67,2001-04-30,2001-05-07,Sohar,4.444722954881921,4.507449716070897,0.06272676118897635,0.06272676118897635,0.00393464656925887
validation,validation_000_b61404cedf67,2001-05-07,2001-05-14,Fujairah,28.46923725098467,29.890557660324337,1.4213204093396676,1.4213204093396676,2.0201517060054806
validation,validation_000_b61404cedf67,2001-05-07,2001-05-14,Khor_Fakkan,4.682927838510048,4.406685446647384,-0.27624239186266397,0.27624239186266397,0.0763098590620056
validation,validation_000_b61404cedf67,2001-05-07,2001-05-14,Sohar,4.507449716070897,4.477373795923708,-0.03007592014718874,0.03007592014718874,0.0009045609727000735
validation,validation_000_b61404cedf67,2001-05-14,2001-05-21,Fujairah,29.890557660324337,30.593815797520737,0.7032581371964,0.7032581371964,0.4945720075329505
validation,validation_000_b61404cedf67,2001-05-14,2001-05-21,Khor_Fakkan,4.406685446647384,3.9726914604066175,-0.4339939862407669,0.4339939862407669,0.18835078009315098
validation,validation_000_b61404cedf67,2001-05-14,2001-05-21,Sohar,4.477373795923708,4.463990082607838,-0.013383713315870516,0.013383713315870516,0.00017912378212140976
validation,validation_001_83c2af15fd75,2001-07-30,2001-08-06,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-07-30,2001-08-06,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-07-30,2001-08-06,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-06,2001-08-13,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-06,2001-08-13,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-06,2001-08-13,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-13,2001-08-20,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-13,2001-08-20,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-13,2001-08-20,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-20,2001-08-27,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-20,2001-08-27,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-20,2001-08-27,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-27,2001-09-03,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-08-27,2001-09-03,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
